label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
U,0.0,0.0,0.1323529411764706,-0.07352941176470588,0.19117647058823528,-0.22058823529411764,0.058823529411764705,-0.27941176470588236,-0.08088235294117647,-0.3088235294117647,0.11764705882352941,-0.49264705882352944,0.1323529411764706,-0.6911764705882353,0.125,-0.8088235294117647,0.11029411764705882,-0.9264705882352942,-0.007352941176470588,-0.5,0.014705882352941176,-0.7279411764705882,0.014705882352941176,-0.875,0.007352941176470588,-1.0,-0.11764705882352941,-0.4485294117647059,-0.16176470588235295,-0.5955882352941176,-0.125,-0.4411764705882353,-0.09558823529411764,-0.3235294117647059,-0.21323529411764705,-0.3382352941176471,-0.25,-0.4338235294117647,-0.19852941176470587,-0.3382352941176471,-0.14705882352941177,-0.25
U,0.0,0.0,0.14393939393939395,-0.09090909090909091,0.2196969696969697,-0.23484848484848486,0.14393939393939395,-0.3106060606060606,0.022727272727272728,-0.3181818181818182,0.06818181818181818,-0.5075757575757576,0.07575757575757576,-0.7045454545454546,0.06060606060606061,-0.8257575757575758,0.03787878787878788,-0.9393939393939394,-0.03787878787878788,-0.49242424242424243,-0.03787878787878788,-0.7196969696969697,-0.045454545454545456,-0.8712121212121212,-0.07575757575757576,-1.0,-0.13636363636363635,-0.4166666666666667,-0.15151515151515152,-0.5681818181818182,-0.06818181818181818,-0.44696969696969696,-0.015151515151515152,-0.3333333333333333,-0.21212121212121213,-0.29545454545454547,-0.19696969696969696,-0.4090909090909091,-0.09848484848484848,-0.3333333333333333,-0.03787878787878788,-0.25
U,0.0,0.0,0.08208955223880597,-0.07462686567164178,0.05970149253731343,-0.20149253731343283,-0.11940298507462686,-0.2537313432835821,-0.27611940298507465,-0.291044776119403,0.04477611940298507,-0.47761194029850745,0.022388059701492536,-0.6791044776119403,0.014925373134328358,-0.8059701492537313,-0.007462686567164179,-0.9253731343283582,-0.08208955223880597,-0.5,-0.08208955223880597,-0.7238805970149254,-0.09701492537313433,-0.8582089552238806,-0.11940298507462686,-1.0,-0.1865671641791045,-0.44776119402985076,-0.27611940298507465,-0.5746268656716418,-0.26865671641791045,-0.417910447761194,-0.23880597014925373,-0.29850746268656714,-0.26865671641791045,-0.3656716417910448,-0.3582089552238806,-0.41044776119402987,-0.3283582089552239,-0.31343283582089554,-0.27611940298507465,-0.23134328358208955
U,0.0,0.0,0.12307692307692308,-0.09230769230769231,0.14615384615384616,-0.23846153846153847,-0.007692307692307693,-0.2692307692307692,-0.16923076923076924,-0.27692307692307694,0.038461538461538464,-0.5,0.015384615384615385,-0.7,-0.007692307692307693,-0.823076923076923,-0.046153846153846156,-0.9307692307692308,-0.09230769230769231,-0.49230769230769234,-0.1076923076923077,-0.7307692307692307,-0.13846153846153847,-0.8692307692307693,-0.17692307692307693,-1.0,-0.2,-0.4153846153846154,-0.2692307692307692,-0.5384615384615384,-0.2,-0.3923076923076923,-0.13846153846153847,-0.2846153846153846,-0.27692307692307694,-0.2923076923076923,-0.3153846153846154,-0.35384615384615387,-0.23846153846153847,-0.26153846153846155,-0.16923076923076924,-0.18461538461538463
U,0.0,0.0,0.1282051282051282,-0.09401709401709402,0.13675213675213677,-0.2222222222222222,-0.042735042735042736,-0.21367521367521367,-0.2222222222222222,-0.19658119658119658,-0.008547008547008548,-0.5042735042735043,-0.05982905982905983,-0.7094017094017094,-0.10256410256410256,-0.8290598290598291,-0.1623931623931624,-0.9487179487179487,-0.15384615384615385,-0.47863247863247865,-0.21367521367521367,-0.717948717948718,-0.26495726495726496,-0.8632478632478633,-0.3333333333333333,-1.0,-0.2564102564102564,-0.38461538461538464,-0.36752136752136755,-0.47863247863247865,-0.26495726495726496,-0.3162393162393162,-0.1794871794871795,-0.20512820512820512,-0.3247863247863248,-0.24786324786324787,-0.39316239316239315,-0.28205128205128205,-0.2905982905982906,-0.1794871794871795,-0.19658119658119658,-0.10256410256410256
U,0.0,0.0,0.12781954887218044,-0.09774436090225563,0.15789473684210525,-0.2556390977443609,0.007518796992481203,-0.3233082706766917,-0.13533834586466165,-0.3458646616541353,0.09774436090225563,-0.49624060150375937,0.10526315789473684,-0.6992481203007519,0.09022556390977443,-0.8195488721804511,0.07518796992481203,-0.924812030075188,-0.022556390977443608,-0.5037593984962406,-0.007518796992481203,-0.7293233082706767,-0.022556390977443608,-0.8721804511278195,-0.03759398496240601,-1.0,-0.12781954887218044,-0.45112781954887216,-0.18045112781954886,-0.6015037593984962,-0.14285714285714285,-0.45864661654135336,-0.11278195488721804,-0.3533834586466165,-0.21804511278195488,-0.3458646616541353,-0.2556390977443609,-0.43609022556390975,-0.20300751879699247,-0.3458646616541353,-0.15789473684210525,-0.2631578947368421
U,0.0,0.0,0.05185185185185185,-0.06666666666666667,0.007407407407407408,-0.18518518518518517,-0.16296296296296298,-0.26666666666666666,-0.31851851851851853,-0.3333333333333333,0.05925925925925926,-0.4666666666666667,0.037037037037037035,-0.6666666666666666,0.02962962962962963,-0.7925925925925926,0.022222222222222223,-0.9111111111111111,-0.05925925925925926,-0.4962962962962963,-0.05185185185185185,-0.7185185185185186,-0.06666666666666667,-0.8592592592592593,-0.06666666666666667,-1.0,-0.16296296296296298,-0.4666666666666667,-0.25925925925925924,-0.5925925925925926,-0.28888888888888886,-0.4444444444444444,-0.2814814814814815,-0.3333333333333333,-0.24444444444444444,-0.3851851851851852,-0.32592592592592595,-0.43703703703703706,-0.32592592592592595,-0.34074074074074073,-0.3037037037037037,-0.25925925925925924
U,0.0,0.0,0.13953488372093023,-0.10077519379844961,0.21705426356589147,-0.2558139534883721,0.16279069767441862,-0.3333333333333333,0.046511627906976744,-0.3178294573643411,0.031007751937984496,-0.5116279069767442,0.015503875968992248,-0.7131782945736435,0.0,-0.8372093023255814,-0.03875968992248062,-0.937984496124031,-0.08527131782945736,-0.4883720930232558,-0.10077519379844961,-0.7209302325581395,-0.11627906976744186,-0.875968992248062,-0.14728682170542637,-1.0,-0.17054263565891473,-0.40310077519379844,-0.15503875968992248,-0.5503875968992248,-0.046511627906976744,-0.4418604651162791,0.023255813953488372,-0.34108527131782945,-0.23255813953488372,-0.27906976744186046,-0.15503875968992248,-0.3798449612403101,-0.046511627906976744,-0.31007751937984496,0.015503875968992248,-0.24031007751937986
U,0.0,0.0,0.14655172413793102,-0.1206896551724138,0.19827586206896552,-0.28448275862068967,0.07758620689655173,-0.28448275862068967,-0.08620689655172414,-0.2413793103448276,-0.034482758620689655,-0.5517241379310345,-0.10344827586206896,-0.75,-0.15517241379310345,-0.8706896551724138,-0.22413793103448276,-0.9827586206896551,-0.1810344827586207,-0.5,-0.25862068965517243,-0.7327586206896551,-0.31896551724137934,-0.8793103448275862,-0.39655172413793105,-1.0,-0.27586206896551724,-0.39655172413793105,-0.31896551724137934,-0.47413793103448276,-0.1724137931034483,-0.33620689655172414,-0.07758620689655173,-0.25,-0.33620689655172414,-0.2413793103448276,-0.3017241379310345,-0.25862068965517243,-0.16379310344827586,-0.1810344827586207,-0.0603448275862069,-0.12931034482758622
U,0.0,0.0,0.12213740458015267,-0.07633587786259542,0.1450381679389313,-0.21374045801526717,-0.015267175572519083,-0.26717557251908397,-0.17557251908396945,-0.29770992366412213,0.0916030534351145,-0.48854961832061067,0.08396946564885496,-0.6870229007633588,0.06870229007633588,-0.8091603053435115,0.04580152671755725,-0.9236641221374046,-0.04580152671755725,-0.5038167938931297,-0.03816793893129771,-0.732824427480916,-0.05343511450381679,-0.8702290076335878,-0.06870229007633588,-1.0,-0.15267175572519084,-0.45038167938931295,-0.21374045801526717,-0.5648854961832062,-0.183206106870229,-0.4122137404580153,-0.15267175572519084,-0.29770992366412213,-0.24427480916030533,-0.3511450381679389,-0.2748091603053435,-0.3816793893129771,-0.22137404580152673,-0.26717557251908397,-0.16793893129770993,-0.19083969465648856
