label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
L,0.0,0.0,0.19626168224299065,-0.08411214953271028,0.38317757009345793,-0.2336448598130841,0.5420560747663551,-0.34579439252336447,0.6728971962616822,-0.40186915887850466,0.17757009345794392,-0.5046728971962616,0.18691588785046728,-0.7383177570093458,0.17757009345794392,-0.8785046728971962,0.16822429906542055,-1.0,0.04672897196261682,-0.48598130841121495,-0.018691588785046728,-0.5607476635514018,-0.018691588785046728,-0.3925233644859813,0.0,-0.2616822429906542,-0.07476635514018691,-0.4485981308411215,-0.1308411214953271,-0.4766355140186916,-0.09345794392523364,-0.3177570093457944,-0.056074766355140186,-0.21495327102803738,-0.18691588785046728,-0.3925233644859813,-0.22429906542056074,-0.4672897196261682,-0.18691588785046728,-0.3644859813084112,-0.14018691588785046,-0.2803738317757009
L,0.0,0.0,0.18518518518518517,-0.10185185185185185,0.3425925925925926,-0.2962962962962963,0.48148148148148145,-0.4074074074074074,0.6018518518518519,-0.46296296296296297,0.1388888888888889,-0.5277777777777778,0.1574074074074074,-0.75,0.16666666666666666,-0.8888888888888888,0.17592592592592593,-1.0,0.009259259259259259,-0.5,0.05555555555555555,-0.5648148148148148,0.06481481481481481,-0.3888888888888889,0.05555555555555555,-0.25925925925925924,-0.1111111111111111,-0.4351851851851852,-0.06481481481481481,-0.48148148148148145,-0.037037037037037035,-0.3148148148148148,-0.037037037037037035,-0.2222222222222222,-0.23148148148148148,-0.3611111111111111,-0.19444444444444445,-0.4537037037037037,-0.14814814814814814,-0.3611111111111111,-0.1388888888888889,-0.28703703703703703
L,0.0,0.0,0.18518518518518517,-0.09259259259259259,0.3425925925925926,-0.24074074074074073,0.4722222222222222,-0.3425925925925926,0.6018518518518519,-0.3888888888888889,0.1388888888888889,-0.5185185185185185,0.1388888888888889,-0.7407407407407407,0.12037037037037036,-0.8796296296296297,0.10185185185185185,-1.0,0.009259259259259259,-0.49074074074074076,-0.06481481481481481,-0.5462962962962963,-0.046296296296296294,-0.37962962962962965,-0.018518518518518517,-0.25925925925925924,-0.1111111111111111,-0.4351851851851852,-0.17592592592592593,-0.46296296296296297,-0.12037037037037036,-0.3148148148148148,-0.06481481481481481,-0.21296296296296297,-0.21296296296296297,-0.37037037037037035,-0.26851851851851855,-0.4351851851851852,-0.2222222222222222,-0.3333333333333333,-0.1574074074074074,-0.25925925925925924
L,0.0,0.0,0.17346938775510204,-0.16326530612244897,0.3163265306122449,-0.37755102040816324,0.45918367346938777,-0.5102040816326531,0.5918367346938775,-0.5816326530612245,0.01020408163265306,-0.5816326530612245,-0.04081632653061224,-0.7755102040816326,-0.08163265306122448,-0.8979591836734694,-0.12244897959183673,-1.0,-0.16326530612244897,-0.5510204081632653,-0.1326530612244898,-0.47959183673469385,-0.05102040816326531,-0.32653061224489793,-0.02040816326530612,-0.23469387755102042,-0.29591836734693877,-0.45918367346938777,-0.23469387755102042,-0.35714285714285715,-0.15306122448979592,-0.23469387755102042,-0.10204081632653061,-0.17346938775510204,-0.3979591836734694,-0.336734693877551,-0.3673469387755102,-0.2857142857142857,-0.2755102040816326,-0.20408163265306123,-0.22448979591836735,-0.16326530612244897
L,0.0,0.0,0.20952380952380953,-0.08571428571428572,0.4,-0.23809523809523808,0.5619047619047619,-0.34285714285714286,0.6952380952380952,-0.38095238095238093,0.20952380952380953,-0.5142857142857142,0.22857142857142856,-0.7428571428571429,0.23809523809523808,-0.8857142857142857,0.23809523809523808,-1.0,0.06666666666666667,-0.49523809523809526,0.0380952380952381,-0.580952380952381,0.0380952380952381,-0.4095238095238095,0.0380952380952381,-0.2761904761904762,-0.06666666666666667,-0.44761904761904764,-0.08571428571428572,-0.49523809523809526,-0.05714285714285714,-0.3333333333333333,-0.02857142857142857,-0.21904761904761905,-0.19047619047619047,-0.38095238095238093,-0.2,-0.47619047619047616,-0.17142857142857143,-0.37142857142857144,-0.13333333333333333,-0.29523809523809524
L,0.0,0.0,0.18095238095238095,-0.06666666666666667,0.3238095238095238,-0.2,0.4380952380952381,-0.29523809523809524,0.5428571428571428,-0.3238095238095238,0.20952380952380953,-0.5142857142857142,0.21904761904761905,-0.7428571428571429,0.20952380952380953,-0.8857142857142857,0.2,-1.0,0.08571428571428572,-0.5047619047619047,0.0,-0.5714285714285714,-0.009523809523809525,-0.4095238095238095,0.009523809523809525,-0.2857142857142857,-0.0380952380952381,-0.4666666666666667,-0.11428571428571428,-0.5142857142857142,-0.0761904761904762,-0.3523809523809524,-0.0380952380952381,-0.24761904761904763,-0.14285714285714285,-0.4095238095238095,-0.2,-0.47619047619047616,-0.1619047619047619,-0.3619047619047619,-0.11428571428571428,-0.2857142857142857
L,0.0,0.0,0.17757009345794392,-0.1308411214953271,0.3177570093457944,-0.3177570093457944,0.4485981308411215,-0.42990654205607476,0.5700934579439252,-0.48598130841121495,0.08411214953271028,-0.5607476635514018,0.12149532710280374,-0.7570093457943925,0.14018691588785046,-0.8878504672897196,0.14953271028037382,-1.0,-0.04672897196261682,-0.5327102803738317,0.056074766355140186,-0.5607476635514018,0.07476635514018691,-0.38317757009345793,0.056074766355140186,-0.27102803738317754,-0.1588785046728972,-0.4672897196261682,-0.037383177570093455,-0.45794392523364486,-0.009345794392523364,-0.29906542056074764,-0.028037383177570093,-0.22429906542056074,-0.2616822429906542,-0.37383177570093457,-0.1588785046728972,-0.40186915887850466,-0.11214953271028037,-0.29906542056074764,-0.12149532710280374,-0.24299065420560748
L,0.0,0.0,0.14285714285714285,-0.18095238095238095,0.21904761904761905,-0.38095238095238093,0.2857142857142857,-0.5142857142857142,0.37142857142857144,-0.6095238095238096,0.0,-0.5619047619047619,0.05714285714285714,-0.7523809523809524,0.09523809523809523,-0.8857142857142857,0.10476190476190476,-1.0,-0.10476190476190476,-0.5238095238095238,0.1523809523809524,-0.5333333333333333,0.17142857142857143,-0.4,0.11428571428571428,-0.3333333333333333,-0.1619047619047619,-0.4380952380952381,0.11428571428571428,-0.41904761904761906,0.11428571428571428,-0.29523809523809524,0.047619047619047616,-0.24761904761904763,-0.18095238095238095,-0.3333333333333333,0.0380952380952381,-0.34285714285714286,0.05714285714285714,-0.2571428571428571,0.009523809523809525,-0.21904761904761905
L,0.0,0.0,0.18867924528301888,-0.10377358490566038,0.3584905660377358,-0.2641509433962264,0.5094339622641509,-0.36792452830188677,0.6415094339622641,-0.41509433962264153,0.1509433962264151,-0.5188679245283019,0.16037735849056603,-0.7452830188679245,0.16037735849056603,-0.8773584905660378,0.16981132075471697,-1.0,0.009433962264150943,-0.49056603773584906,0.009433962264150943,-0.5660377358490566,0.02830188679245283,-0.3867924528301887,0.02830188679245283,-0.2641509433962264,-0.11320754716981132,-0.4339622641509434,-0.10377358490566038,-0.4811320754716981,-0.0660377358490566,-0.32075471698113206,-0.05660377358490566,-0.2169811320754717,-0.2358490566037736,-0.3490566037735849,-0.22641509433962265,-0.4339622641509434,-0.16981132075471697,-0.330188679245283,-0.1509433962264151,-0.25471698113207547
L,0.0,0.0,0.1836734693877551,-0.1326530612244898,0.3469387755102041,-0.30612244897959184,0.4897959183673469,-0.41836734693877553,0.6428571428571429,-0.46938775510204084,0.05102040816326531,-0.5612244897959183,0.01020408163265306,-0.7653061224489796,-0.04081632653061224,-0.8979591836734694,-0.08163265306122448,-1.0,-0.10204081632653061,-0.5408163265306123,-0.15306122448979592,-0.5102040816326531,-0.10204081632653061,-0.3469387755102041,-0.04081632653061224,-0.23469387755102042,-0.22448979591836735,-0.46938775510204084,-0.2653061224489796,-0.3979591836734694,-0.17346938775510204,-0.25510204081632654,-0.10204081632653061,-0.1836734693877551,-0.336734693877551,-0.37755102040816324,-0.3673469387755102,-0.3469387755102041,-0.2755102040816326,-0.25510204081632654,-0.20408163265306123,-0.19387755102040816
