label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
K,0.0,0.0,-0.1411764705882353,-0.17647058823529413,-0.16470588235294117,-0.4117647058823529,-0.08823529411764706,-0.6294117647058823,-0.03529411764705882,-0.7764705882352941,-0.20588235294117646,-0.45294117647058824,-0.12352941176470589,-0.7411764705882353,-0.08823529411764706,-0.888235294117647,-0.07058823529411765,-1.0,-0.052941176470588235,-0.40588235294117647,0.1,-0.711764705882353,0.19411764705882353,-0.8529411764705882,0.25882352941176473,-0.9352941176470588,0.11764705882352941,-0.35294117647058826,0.22941176470588234,-0.5705882352941176,0.2235294117647059,-0.5117647058823529,0.19411764705882353,-0.43529411764705883,0.2647058823529412,-0.29411764705882354,0.32941176470588235,-0.4823529411764706,0.3058823529411765,-0.4235294117647059,0.28823529411764703,-0.35294117647058826
K,0.0,0.0,-0.15028901734104047,-0.19653179190751446,-0.16184971098265896,-0.41040462427745666,-0.08092485549132948,-0.6242774566473989,0.011560693641618497,-0.7514450867052023,-0.20809248554913296,-0.49710982658959535,-0.1329479768786127,-0.7745664739884393,-0.09248554913294797,-0.9017341040462428,-0.06936416184971098,-1.0,-0.05202312138728324,-0.47398843930635837,0.08670520231213873,-0.7514450867052023,0.17341040462427745,-0.838150289017341,0.21965317919075145,-0.8786127167630058,0.11560693641618497,-0.43352601156069365,0.20809248554913296,-0.6127167630057804,0.20809248554913296,-0.5375722543352601,0.1791907514450867,-0.4624277456647399,0.2658959537572254,-0.37572254335260113,0.3063583815028902,-0.5260115606936416,0.28901734104046245,-0.45664739884393063,0.27167630057803466,-0.3815028901734104
K,0.0,0.0,-0.1875,-0.1534090909090909,-0.2897727272727273,-0.3806818181818182,-0.30113636363636365,-0.6022727272727273,-0.3181818181818182,-0.7556818181818182,-0.4375,-0.3125,-0.4318181818181818,-0.6420454545454546,-0.4318181818181818,-0.8181818181818182,-0.4318181818181818,-0.9602272727272727,-0.2840909090909091,-0.26704545454545453,-0.20454545454545456,-0.6704545454545454,-0.125,-0.8693181818181818,-0.07386363636363637,-1.0,-0.11363636363636363,-0.24431818181818182,-0.017045454545454544,-0.5909090909090909,0.017045454545454544,-0.5227272727272727,0.005681818181818182,-0.42045454545454547,0.0625,-0.24431818181818182,0.11363636363636363,-0.5340909090909091,0.125,-0.48295454545454547,0.11363636363636363,-0.38636363636363635
K,0.0,0.0,-0.15483870967741936,-0.17419354838709677,-0.23225806451612904,-0.4,-0.21935483870967742,-0.6193548387096774,-0.2064516129032258,-0.7741935483870968,-0.38064516129032255,-0.3935483870967742,-0.3225806451612903,-0.7096774193548387,-0.2967741935483871,-0.8709677419354839,-0.27741935483870966,-1.0,-0.25161290322580643,-0.34838709677419355,-0.10967741935483871,-0.7096774193548387,0.0,-0.8709677419354839,0.07096774193548387,-0.967741935483871,-0.09032258064516129,-0.3096774193548387,0.07096774193548387,-0.5870967741935483,0.0967741935483871,-0.5096774193548387,0.07096774193548387,-0.41935483870967744,0.07096774193548387,-0.2838709677419355,0.1870967741935484,-0.5161290322580645,0.1935483870967742,-0.45161290322580644,0.16774193548387098,-0.36774193548387096
K,0.0,0.0,-0.1375,-0.175,-0.1875,-0.40625,-0.14375,-0.6125,-0.10625,-0.75625,-0.3125,-0.4,-0.23125,-0.70625,-0.19375,-0.86875,-0.1625,-1.0,-0.18125,-0.325,-0.0125,-0.675,0.10625,-0.83125,0.1875,-0.94375,-0.025,-0.2625,0.1375,-0.55625,0.15,-0.48125,0.125,-0.3875,0.13125,-0.21875,0.25,-0.4625,0.25,-0.40625,0.225,-0.325
K,0.0,0.0,-0.1320754716981132,-0.18238993710691823,-0.20754716981132076,-0.41509433962264153,-0.2138364779874214,-0.6352201257861635,-0.22012578616352202,-0.8050314465408805,-0.39622641509433965,-0.4339622641509434,-0.31446540880503143,-0.7295597484276729,-0.27672955974842767,-0.8805031446540881,-0.24528301886792453,-1.0,-0.29559748427672955,-0.3836477987421384,-0.12578616352201258,-0.7169811320754716,0.006289308176100629,-0.8616352201257862,0.09433962264150944,-0.9622641509433962,-0.16352201257861634,-0.3333333333333333,0.0440251572327044,-0.5911949685534591,0.0880503144654088,-0.5094339622641509,0.06289308176100629,-0.4276729559748428,-0.018867924528301886,-0.29559748427672955,0.1320754716981132,-0.5031446540880503,0.15723270440251572,-0.44025157232704404,0.12578616352201258,-0.36477987421383645
K,0.0,0.0,-0.04918032786885246,-0.22404371584699453,-0.10382513661202186,-0.44808743169398907,-0.12021857923497267,-0.6284153005464481,-0.15846994535519127,-0.7759562841530054,-0.366120218579235,-0.4808743169398907,-0.29508196721311475,-0.73224043715847,-0.26229508196721313,-0.8743169398907104,-0.23497267759562843,-1.0,-0.3224043715846995,-0.40437158469945356,-0.07103825136612021,-0.644808743169399,0.08743169398907104,-0.726775956284153,0.19672131147540983,-0.7704918032786885,-0.22404371584699453,-0.3224043715846995,0.04371584699453552,-0.5245901639344263,0.09836065573770492,-0.4371584699453552,0.08743169398907104,-0.3551912568306011,-0.1092896174863388,-0.25136612021857924,0.10382513661202186,-0.4207650273224044,0.14207650273224043,-0.3551912568306011,0.12568306010928962,-0.29508196721311475
K,0.0,0.0,-0.16901408450704225,-0.323943661971831,-0.4084507042253521,-0.5070422535211268,-0.5915492957746479,-0.5985915492957746,-0.7676056338028169,-0.7112676056338029,-0.7676056338028169,-0.2746478873239437,-0.8732394366197183,-0.5633802816901409,-0.9436619718309859,-0.7394366197183099,-1.0,-0.8943661971830986,-0.704225352112676,-0.19718309859154928,-0.6338028169014085,-0.6267605633802817,-0.4788732394366197,-0.8309859154929577,-0.38028169014084506,-0.9577464788732394,-0.5774647887323944,-0.14788732394366197,-0.39436619718309857,-0.5845070422535211,-0.2112676056338028,-0.5422535211267606,-0.14084507042253522,-0.4507042253521127,-0.4225352112676056,-0.14788732394366197,-0.2887323943661972,-0.5,-0.15492957746478872,-0.4788732394366197,-0.11267605633802817,-0.39436619718309857
K,0.0,0.0,-0.06578947368421052,-0.28289473684210525,-0.2236842105263158,-0.4934210526315789,-0.35526315789473684,-0.6447368421052632,-0.45394736842105265,-0.7828947368421053,-0.5657894736842105,-0.40131578947368424,-0.5855263157894737,-0.7039473684210527,-0.5986842105263158,-0.868421052631579,-0.6118421052631579,-1.0,-0.5131578947368421,-0.34868421052631576,-0.3684210526315789,-0.7105263157894737,-0.21052631578947367,-0.8421052631578947,-0.09210526315789473,-0.9078947368421053,-0.40131578947368424,-0.3157894736842105,-0.19078947368421054,-0.625,-0.07894736842105263,-0.5328947368421053,-0.046052631578947366,-0.4276315789473684,-0.2631578947368421,-0.3092105263157895,-0.09868421052631579,-0.5592105263157895,-0.019736842105263157,-0.4868421052631579,0.0,-0.40131578947368424
K,0.0,0.0,-0.033112582781456956,-0.26490066225165565,-0.15894039735099338,-0.4768211920529801,-0.25165562913907286,-0.6357615894039735,-0.31788079470198677,-0.7682119205298014,-0.5033112582781457,-0.44370860927152317,-0.4966887417218543,-0.7284768211920529,-0.4966887417218543,-0.8807947019867549,-0.4900662251655629,-1.0,-0.45695364238410596,-0.41721854304635764,-0.2781456953642384,-0.7483443708609272,-0.11920529801324503,-0.8410596026490066,-0.006622516556291391,-0.8874172185430463,-0.3509933774834437,-0.4105960264900662,-0.12582781456953643,-0.6754966887417219,-0.026490066225165563,-0.5960264900662252,-0.006622516556291391,-0.5165562913907285,-0.2185430463576159,-0.41721854304635764,-0.026490066225165563,-0.6158940397350994,0.033112582781456956,-0.5496688741721855,0.033112582781456956,-0.48344370860927155
K,0.0,0.0,-0.09740259740259741,-0.3181818181818182,-0.2857142857142857,-0.525974025974026,-0.42857142857142855,-0.6428571428571429,-0.551948051948052,-0.7662337662337663,-0.6428571428571429,-0.3961038961038961,-0.6883116883116883,-0.6753246753246753,-0.7142857142857143,-0.8506493506493507,-0.7272727272727273,-1.0,-0.6103896103896104,-0.2987012987012987,-0.43506493506493504,-0.6688311688311688,-0.24675324675324675,-0.7792207792207793,-0.12987012987012986,-0.8441558441558441,-0.5,-0.22727272727272727,-0.2532467532467532,-0.564935064935065,-0.09740259740259741,-0.5064935064935064,-0.045454545454545456,-0.42207792207792205,-0.36363636363636365,-0.18181818181818182,-0.17532467532467533,-0.474025974025974,-0.06493506493506493,-0.44155844155844154,-0.03896103896103896,-0.37012987012987014
K,0.0,0.0,0.01764705882352941,-0.31176470588235294,-0.1,-0.5117647058823529,-0.2,-0.6352941176470588,-0.2823529411764706,-0.7529411764705882,-0.4588235294117647,-0.4647058823529412,-0.4235294117647059,-0.7294117647058823,-0.4176470588235294,-0.8764705882352941,-0.4,-1.0,-0.4411764705882353,-0.4117647058823529,-0.22941176470588234,-0.6941176470588235,-0.06470588235294118,-0.788235294117647,0.052941176470588235,-0.8411764705882353,-0.3588235294117647,-0.36470588235294116,-0.09411764705882353,-0.6058823529411764,0.03529411764705882,-0.49411764705882355,0.09411764705882353,-0.38823529411764707,-0.24705882352941178,-0.3352941176470588,-0.052941176470588235,-0.5411764705882353,0.03529411764705882,-0.4647058823529412,0.07058823529411765,-0.38235294117647056
K,0.0,0.0,0.016483516483516484,-0.2857142857142857,-0.06043956043956044,-0.5,-0.12637362637362637,-0.6373626373626373,-0.1813186813186813,-0.7747252747252747,-0.3791208791208791,-0.5274725274725275,-0.3241758241758242,-0.7527472527472527,-0.2857142857142857,-0.8846153846153846,-0.24725274725274726,-1.0,-0.38461538461538464,-0.43956043956043955,-0.12087912087912088,-0.6373626373626373,0.06043956043956044,-0.7032967032967034,0.17032967032967034,-0.7362637362637363,-0.3241758241758242,-0.33516483516483514,-0.02197802197802198,-0.5,0.06593406593406594,-0.4175824175824176,0.07692307692307693,-0.34615384615384615,-0.23076923076923078,-0.24725274725274726,0.01098901098901099,-0.3901098901098901,0.08241758241758242,-0.33516483516483514,0.07692307692307693,-0.2802197802197802
