label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
T,0.0,0.0,0.17391304347826086,-0.14782608695652175,0.23478260869565218,-0.3391304347826087,0.2608695652173913,-0.4608695652173913,0.28695652173913044,-0.591304347826087,0.11304347826086956,-0.5043478260869565,0.24347826086956523,-0.6086956521739131,0.3217391304347826,-0.5043478260869565,0.34782608695652173,-0.3826086956521739,0.06086956521739131,-0.5304347826086957,0.14782608695652175,-0.7391304347826086,0.19130434782608696,-0.8869565217391304,0.20869565217391303,-1.0,0.0,-0.5043478260869565,0.11304347826086956,-0.7217391304347827,0.1565217391304348,-0.8434782608695652,0.17391304347826086,-0.9391304347826087,-0.05217391304347826,-0.4434782608695652,0.017391304347826087,-0.6086956521739131,0.05217391304347826,-0.7391304347826086,0.0782608695652174,-0.8434782608695652
T,0.0,0.0,0.17592592592592593,-0.18518518518518517,0.23148148148148148,-0.3888888888888889,0.26851851851851855,-0.5185185185185185,0.32407407407407407,-0.6203703703703703,0.009259259259259259,-0.5555555555555556,0.19444444444444445,-0.6851851851851852,0.3055555555555556,-0.5925925925925926,0.3425925925925926,-0.49074074074074076,-0.027777777777777776,-0.5648148148148148,0.14814814814814814,-0.7777777777777778,0.23148148148148148,-0.8981481481481481,0.2777777777777778,-1.0,-0.027777777777777776,-0.5185185185185185,0.1574074074074074,-0.7407407407407407,0.2222222222222222,-0.8240740740740741,0.25,-0.8796296296296297,-0.009259259259259259,-0.4537037037037037,0.07407407407407407,-0.6388888888888888,0.12037037037037036,-0.7777777777777778,0.1574074074074074,-0.8888888888888888
T,0.0,0.0,0.1794871794871795,-0.11965811965811966,0.2564102564102564,-0.3162393162393162,0.2905982905982906,-0.452991452991453,0.3076923076923077,-0.5811965811965812,0.1623931623931624,-0.47863247863247865,0.26495726495726496,-0.5897435897435898,0.3162393162393162,-0.48717948717948717,0.3333333333333333,-0.37606837606837606,0.09401709401709402,-0.5128205128205128,0.1623931623931624,-0.7264957264957265,0.19658119658119658,-0.8717948717948718,0.2222222222222222,-1.0,0.008547008547008548,-0.5042735042735043,0.05982905982905983,-0.717948717948718,0.09401709401709402,-0.8547008547008547,0.11965811965811966,-0.9743589743589743,-0.07692307692307693,-0.452991452991453,-0.02564102564102564,-0.6239316239316239,0.0,-0.7350427350427351,0.02564102564102564,-0.8376068376068376
T,0.0,0.0,0.18803418803418803,-0.10256410256410256,0.27350427350427353,-0.3076923076923077,0.3162393162393162,-0.4700854700854701,0.3247863247863248,-0.5982905982905983,0.1623931623931624,-0.47863247863247865,0.23931623931623933,-0.5811965811965812,0.27350427350427353,-0.47863247863247865,0.27350427350427353,-0.36752136752136755,0.07692307692307693,-0.5128205128205128,0.13675213675213677,-0.7350427350427351,0.17094017094017094,-0.8803418803418803,0.18803418803418803,-1.0,-0.017094017094017096,-0.5042735042735043,0.017094017094017096,-0.717948717948718,0.05128205128205128,-0.8632478632478633,0.07692307692307693,-0.9914529914529915,-0.1111111111111111,-0.452991452991453,-0.08547008547008547,-0.6239316239316239,-0.05982905982905983,-0.7350427350427351,-0.03418803418803419,-0.8376068376068376
T,0.0,0.0,0.16666666666666666,-0.125,0.23333333333333334,-0.31666666666666665,0.24166666666666667,-0.4583333333333333,0.24166666666666667,-0.5666666666666667,0.125,-0.475,0.21666666666666667,-0.5916666666666667,0.2916666666666667,-0.5,0.325,-0.4,0.058333333333333334,-0.5083333333333333,0.10833333333333334,-0.725,0.125,-0.8666666666666667,0.13333333333333333,-1.0,-0.016666666666666666,-0.49166666666666664,0.008333333333333333,-0.7083333333333334,0.025,-0.8583333333333333,0.03333333333333333,-0.975,-0.09166666666666666,-0.44166666666666665,-0.075,-0.6166666666666667,-0.058333333333333334,-0.725,-0.041666666666666664,-0.825
T,0.0,0.0,0.17647058823529413,-0.1092436974789916,0.2605042016806723,-0.31092436974789917,0.2857142857142857,-0.47058823529411764,0.2773109243697479,-0.5882352941176471,0.14285714285714285,-0.4789915966386555,0.2184873949579832,-0.5882352941176471,0.2605042016806723,-0.4957983193277311,0.2689075630252101,-0.3949579831932773,0.058823529411764705,-0.5126050420168067,0.10084033613445378,-0.7310924369747899,0.12605042016806722,-0.8823529411764706,0.13445378151260504,-1.0,-0.03361344537815126,-0.5042016806722689,-0.01680672268907563,-0.7226890756302521,0.008403361344537815,-0.865546218487395,0.01680672268907563,-0.9915966386554622,-0.13445378151260504,-0.44537815126050423,-0.1092436974789916,-0.6134453781512605,-0.09243697478991597,-0.7226890756302521,-0.08403361344537816,-0.8235294117647058
T,0.0,0.0,0.19834710743801653,-0.0743801652892562,0.3140495867768595,-0.2892561983471074,0.36363636363636365,-0.4628099173553719,0.32231404958677684,-0.5785123966942148,0.19008264462809918,-0.4628099173553719,0.24793388429752067,-0.5702479338842975,0.23140495867768596,-0.4462809917355372,0.18181818181818182,-0.33884297520661155,0.08264462809917356,-0.512396694214876,0.1322314049586777,-0.7107438016528925,0.1487603305785124,-0.859504132231405,0.1652892561983471,-1.0,-0.01652892561983471,-0.49586776859504134,0.0,-0.7107438016528925,0.01652892561983471,-0.8512396694214877,0.024793388429752067,-0.9834710743801653,-0.1322314049586777,-0.4462809917355372,-0.10743801652892562,-0.6115702479338843,-0.09090909090909091,-0.7107438016528925,-0.08264462809917356,-0.8181818181818182
T,0.0,0.0,0.1652892561983471,-0.11570247933884298,0.2396694214876033,-0.32231404958677684,0.2727272727272727,-0.47107438016528924,0.2727272727272727,-0.5950413223140496,0.12396694214876033,-0.4793388429752066,0.21487603305785125,-0.5785123966942148,0.2644628099173554,-0.4793388429752066,0.2809917355371901,-0.38016528925619836,0.049586776859504134,-0.512396694214876,0.09917355371900827,-0.7272727272727273,0.12396694214876033,-0.8760330578512396,0.1322314049586777,-1.0,-0.04132231404958678,-0.49586776859504134,-0.01652892561983471,-0.7107438016528925,0.0,-0.859504132231405,0.01652892561983471,-0.9917355371900827,-0.1322314049586777,-0.4380165289256198,-0.10743801652892562,-0.6033057851239669,-0.09090909090909091,-0.71900826446281,-0.08264462809917356,-0.8264462809917356
T,0.0,0.0,0.1623931623931624,-0.17094017094017094,0.21367521367521367,-0.36752136752136755,0.23931623931623933,-0.49572649572649574,0.26495726495726496,-0.6068376068376068,0.05982905982905983,-0.5213675213675214,0.1623931623931624,-0.6581196581196581,0.23076923076923078,-0.6239316239316239,0.2564102564102564,-0.5811965811965812,0.008547008547008548,-0.5384615384615384,0.1111111111111111,-0.7521367521367521,0.1623931623931624,-0.8888888888888888,0.18803418803418803,-1.0,-0.042735042735042736,-0.5042735042735043,0.05982905982905983,-0.717948717948718,0.1111111111111111,-0.8376068376068376,0.1282051282051282,-0.9401709401709402,-0.07692307692307693,-0.4358974358974359,-0.017094017094017096,-0.6239316239316239,0.017094017094017096,-0.7435897435897436,0.03418803418803419,-0.8461538461538461
T,0.0,0.0,0.14285714285714285,-0.16806722689075632,0.19327731092436976,-0.3697478991596639,0.21008403361344538,-0.5042016806722689,0.2184873949579832,-0.6302521008403361,0.08403361344537816,-0.5210084033613446,0.17647058823529413,-0.6386554621848739,0.25210084033613445,-0.5546218487394958,0.2857142857142857,-0.453781512605042,0.008403361344537815,-0.5294117647058824,0.058823529411764705,-0.7478991596638656,0.07563025210084033,-0.8823529411764706,0.08403361344537816,-1.0,-0.06722689075630252,-0.48739495798319327,-0.025210084033613446,-0.7058823529411765,0.0,-0.8235294117647058,0.0,-0.9159663865546218,-0.13445378151260504,-0.40336134453781514,-0.09243697478991597,-0.5714285714285714,-0.07563025210084033,-0.680672268907563,-0.07563025210084033,-0.7815126050420168
