label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
B,0.0,0.0,0.1464968152866242,-0.07643312101910828,0.2229299363057325,-0.21656050955414013,0.09554140127388536,-0.3184713375796178,-0.03184713375796178,-0.3503184713375796,0.21656050955414013,-0.4840764331210191,0.22929936305732485,-0.6751592356687898,0.2229299363057325,-0.7898089171974523,0.21656050955414013,-0.89171974522293,0.08917197452229299,-0.5222929936305732,0.09554140127388536,-0.7452229299363057,0.09554140127388536,-0.8789808917197452,0.10191082802547771,-1.0,-0.025477707006369428,-0.5031847133757962,-0.01910828025477707,-0.7006369426751592,-0.006369426751592357,-0.8280254777070064,0.012738853503184714,-0.9299363057324841,-0.1337579617834395,-0.445859872611465,-0.14012738853503184,-0.5987261146496815,-0.1337579617834395,-0.6878980891719745,-0.11464968152866242,-0.7770700636942676
B,0.0,0.0,0.15384615384615385,-0.08333333333333333,0.25,-0.23717948717948717,0.1282051282051282,-0.358974358974359,-0.00641025641025641,-0.391025641025641,0.24358974358974358,-0.4935897435897436,0.2692307692307692,-0.6858974358974359,0.2692307692307692,-0.8012820512820513,0.26282051282051283,-0.8974358974358975,0.12179487179487179,-0.532051282051282,0.14102564102564102,-0.75,0.14743589743589744,-0.8846153846153846,0.15384615384615385,-1.0,0.00641025641025641,-0.5192307692307693,0.019230769230769232,-0.717948717948718,0.04487179487179487,-0.8333333333333334,0.057692307692307696,-0.9358974358974359,-0.10256410256410256,-0.46794871794871795,-0.10256410256410256,-0.6217948717948718,-0.08974358974358974,-0.7115384615384616,-0.07051282051282051,-0.7948717948717948
B,0.0,0.0,0.1554054054054054,-0.0945945945945946,0.23648648648648649,-0.24324324324324326,0.0945945945945946,-0.34459459459459457,-0.033783783783783786,-0.38513513513513514,0.1891891891891892,-0.5,0.16891891891891891,-0.6824324324324325,0.13513513513513514,-0.8040540540540541,0.10135135135135136,-0.918918918918919,0.05405405405405406,-0.5202702702702703,0.02702702702702703,-0.7297297297297297,-0.006756756756756757,-0.8716216216216216,-0.033783783783783786,-1.0,-0.05405405405405406,-0.4797297297297297,-0.10135135135135136,-0.6756756756756757,-0.12837837837837837,-0.8040540540540541,-0.14864864864864866,-0.918918918918919,-0.16891891891891891,-0.40540540540540543,-0.20945945945945946,-0.5472972972972973,-0.22972972972972974,-0.6351351351351351,-0.24324324324324326,-0.7297297297297297
B,0.0,0.0,0.16049382716049382,-0.09876543209876543,0.24691358024691357,-0.25925925925925924,0.11728395061728394,-0.3765432098765432,-0.012345679012345678,-0.4012345679012346,0.21604938271604937,-0.49382716049382713,0.22839506172839505,-0.6790123456790124,0.21604938271604937,-0.7962962962962963,0.2037037037037037,-0.8950617283950617,0.09876543209876543,-0.5246913580246914,0.10493827160493827,-0.7345679012345679,0.10493827160493827,-0.8765432098765432,0.09876543209876543,-1.0,-0.012345679012345678,-0.5,-0.012345679012345678,-0.6975308641975309,-0.006172839506172839,-0.8209876543209876,-0.006172839506172839,-0.9259259259259259,-0.11728395061728394,-0.4382716049382716,-0.12962962962962962,-0.5802469135802469,-0.12345679012345678,-0.6790123456790124,-0.11728395061728394,-0.7716049382716049
B,0.0,0.0,0.13664596273291926,-0.09316770186335403,0.20496894409937888,-0.2422360248447205,0.062111801242236024,-0.32298136645962733,-0.06832298136645963,-0.3416149068322981,0.14906832298136646,-0.4968944099378882,0.13043478260869565,-0.6770186335403726,0.10559006211180125,-0.7950310559006211,0.08074534161490683,-0.9006211180124224,0.018633540372670808,-0.5093167701863354,-0.006211180124223602,-0.7267080745341615,-0.024844720496894408,-0.8633540372670807,-0.043478260869565216,-1.0,-0.08695652173913043,-0.4720496894409938,-0.12422360248447205,-0.6645962732919255,-0.13664596273291926,-0.7950310559006211,-0.14906832298136646,-0.9130434782608695,-0.19254658385093168,-0.39751552795031053,-0.22981366459627328,-0.5341614906832298,-0.2422360248447205,-0.6273291925465838,-0.2484472049689441,-0.7267080745341615
B,0.0,0.0,0.1656441717791411,-0.09202453987730061,0.26380368098159507,-0.25766871165644173,0.1901840490797546,-0.36809815950920244,0.06134969325153374,-0.3558282208588957,0.18404907975460122,-0.50920245398773,0.1901840490797546,-0.6932515337423313,0.1656441717791411,-0.803680981595092,0.13496932515337423,-0.9079754601226994,0.07975460122699386,-0.5214723926380368,0.07975460122699386,-0.7300613496932515,0.06748466257668712,-0.8773006134969326,0.04294478527607362,-1.0,-0.012269938650306749,-0.48466257668711654,-0.024539877300613498,-0.6809815950920245,-0.03067484662576687,-0.803680981595092,-0.05521472392638037,-0.9141104294478528,-0.10429447852760736,-0.4049079754601227,-0.11042944785276074,-0.5521472392638037,-0.11042944785276074,-0.6503067484662577,-0.1165644171779141,-0.7484662576687117
B,0.0,0.0,0.15151515151515152,-0.09090909090909091,0.23636363636363636,-0.24848484848484848,0.11515151515151516,-0.3575757575757576,-0.01818181818181818,-0.3878787878787879,0.21212121212121213,-0.4909090909090909,0.22424242424242424,-0.6787878787878788,0.21818181818181817,-0.793939393939394,0.20606060606060606,-0.9030303030303031,0.08484848484848485,-0.5212121212121212,0.09696969696969697,-0.7393939393939394,0.09696969696969697,-0.8787878787878788,0.09090909090909091,-1.0,-0.01818181818181818,-0.503030303030303,-0.024242424242424242,-0.696969696969697,-0.01818181818181818,-0.8181818181818182,-0.01818181818181818,-0.9272727272727272,-0.12727272727272726,-0.43636363636363634,-0.1393939393939394,-0.5818181818181818,-0.13333333333333333,-0.6787878787878788,-0.12727272727272726,-0.7696969696969697
B,0.0,0.0,0.16352201257861634,-0.1069182389937107,0.25157232704402516,-0.2830188679245283,0.11949685534591195,-0.4276729559748428,-0.025157232704402517,-0.44654088050314467,0.23270440251572327,-0.5220125786163522,0.24528301886792453,-0.710691823899371,0.23270440251572327,-0.8176100628930818,0.22012578616352202,-0.9119496855345912,0.1069182389937107,-0.559748427672956,0.11949685534591195,-0.7672955974842768,0.11320754716981132,-0.89937106918239,0.1069182389937107,-1.0,-0.006289308176100629,-0.5408805031446541,-0.006289308176100629,-0.7358490566037735,0.006289308176100629,-0.8427672955974843,0.012578616352201259,-0.9308176100628931,-0.11949685534591195,-0.48427672955974843,-0.1320754716981132,-0.6352201257861635,-0.12578616352201258,-0.7232704402515723,-0.1069182389937107,-0.8050314465408805
B,0.0,0.0,0.13580246913580246,-0.09876543209876543,0.19753086419753085,-0.25308641975308643,0.04938271604938271,-0.345679012345679,-0.08024691358024691,-0.36419753086419754,0.14814814814814814,-0.5,0.11728395061728394,-0.6851851851851852,0.08641975308641975,-0.8024691358024691,0.06172839506172839,-0.9074074074074074,0.012345679012345678,-0.5185185185185185,-0.018518518518518517,-0.7345679012345679,-0.04938271604938271,-0.8765432098765432,-0.06790123456790123,-1.0,-0.09259259259259259,-0.48148148148148145,-0.13580246913580246,-0.6790123456790124,-0.15432098765432098,-0.808641975308642,-0.16666666666666666,-0.9259259259259259,-0.19753086419753085,-0.4074074074074074,-0.24074074074074073,-0.5555555555555556,-0.25308641975308643,-0.654320987654321,-0.25925925925925924,-0.7530864197530864
B,0.0,0.0,0.15757575757575756,-0.11515151515151516,0.23636363636363636,-0.296969696969697,0.10303030303030303,-0.4303030303030303,-0.03636363636363636,-0.4484848484848485,0.2,-0.5151515151515151,0.2,-0.703030303030303,0.18181818181818182,-0.8121212121212121,0.16363636363636364,-0.9090909090909091,0.07272727272727272,-0.5393939393939394,0.06666666666666667,-0.7515151515151515,0.06060606060606061,-0.8848484848484849,0.048484848484848485,-1.0,-0.03636363636363636,-0.5212121212121212,-0.048484848484848485,-0.7090909090909091,-0.04242424242424243,-0.8303030303030303,-0.04242424242424243,-0.9212121212121213,-0.14545454545454545,-0.46060606060606063,-0.16363636363636364,-0.6060606060606061,-0.15757575757575756,-0.703030303030303,-0.15151515151515152,-0.7818181818181819
B,0.0,0.0,0.1411764705882353,-0.1,0.20588235294117646,-0.2647058823529412,0.07058823529411765,-0.36470588235294116,-0.06470588235294118,-0.3764705882352941,0.1588235294117647,-0.5176470588235295,0.15294117647058825,-0.711764705882353,0.1411764705882353,-0.8176470588235294,0.13529411764705881,-0.9176470588235294,0.029411764705882353,-0.5411764705882353,0.023529411764705882,-0.7529411764705882,0.01764705882352941,-0.888235294117647,0.01764705882352941,-1.0,-0.07647058823529412,-0.5117647058823529,-0.09411764705882353,-0.7058823529411765,-0.08823529411764706,-0.8235294117647058,-0.07647058823529412,-0.9235294117647059,-0.17647058823529413,-0.4411764705882353,-0.2,-0.5823529411764706,-0.2,-0.6764705882352942,-0.18823529411764706,-0.7647058823529411
B,0.0,0.0,0.2112676056338028,-0.15492957746478872,0.29577464788732394,-0.3591549295774648,0.176056338028169,-0.5140845070422535,0.0,-0.5,0.2605633802816901,-0.5492957746478874,0.2746478873239437,-0.7253521126760564,0.2605633802816901,-0.8309859154929577,0.23943661971830985,-0.9154929577464789,0.1267605633802817,-0.5704225352112676,0.13380281690140844,-0.7746478873239436,0.13380281690140844,-0.9014084507042254,0.13380281690140844,-1.0,0.0,-0.5563380281690141,0.0,-0.7464788732394366,0.014084507042253521,-0.852112676056338,0.028169014084507043,-0.9225352112676056,-0.13380281690140844,-0.5211267605633803,-0.14084507042253522,-0.676056338028169,-0.1267605633802817,-0.7676056338028169,-0.11267605633802817,-0.8309859154929577
B,0.0,0.0,0.14035087719298245,-0.0935672514619883,0.2046783625730994,-0.2573099415204678,0.06432748538011696,-0.3567251461988304,-0.07017543859649122,-0.3742690058479532,0.15789473684210525,-0.5087719298245614,0.14619883040935672,-0.695906432748538,0.1286549707602339,-0.8128654970760234,0.1111111111111111,-0.9122807017543859,0.029239766081871343,-0.5263157894736842,0.011695906432748537,-0.7426900584795322,0.0,-0.8771929824561403,-0.005847953216374269,-1.0,-0.07602339181286549,-0.49707602339181284,-0.09941520467836257,-0.6900584795321637,-0.09941520467836257,-0.8187134502923976,-0.09941520467836257,-0.9239766081871345,-0.17543859649122806,-0.4269005847953216,-0.2046783625730994,-0.5730994152046783,-0.21052631578947367,-0.6666666666666666,-0.19883040935672514,-0.7602339181286549
B,0.0,0.0,0.15606936416184972,-0.09826589595375723,0.24855491329479767,-0.2658959537572254,0.14450867052023122,-0.36416184971098264,0.017341040462427744,-0.3468208092485549,0.16184971098265896,-0.5028901734104047,0.15606936416184972,-0.6878612716763006,0.1329479768786127,-0.8034682080924855,0.10404624277456648,-0.9017341040462428,0.04046242774566474,-0.5144508670520231,0.028901734104046242,-0.7341040462427746,0.011560693641618497,-0.8786127167630058,-0.011560693641618497,-1.0,-0.06358381502890173,-0.4797687861271676,-0.08670520231213873,-0.6763005780346821,-0.09826589595375723,-0.8034682080924855,-0.12138728323699421,-0.9075144508670521,-0.16184971098265896,-0.3988439306358382,-0.18497109826589594,-0.5375722543352601,-0.1907514450867052,-0.6358381502890174,-0.19653179190751446,-0.7283236994219653
B,0.0,0.0,0.12429378531073447,-0.096045197740113,0.1638418079096045,-0.2542372881355932,0.011299435028248588,-0.3446327683615819,-0.11864406779661017,-0.3502824858757062,0.096045197740113,-0.5141242937853108,0.062146892655367235,-0.7062146892655368,0.04519774011299435,-0.8192090395480226,0.02824858757062147,-0.9209039548022598,-0.03389830508474576,-0.5254237288135594,-0.07344632768361582,-0.7457627118644068,-0.0903954802259887,-0.8813559322033898,-0.096045197740113,-1.0,-0.13559322033898305,-0.4971751412429379,-0.1751412429378531,-0.6892655367231638,-0.1807909604519774,-0.807909604519774,-0.1751412429378531,-0.9152542372881356,-0.22598870056497175,-0.423728813559322,-0.2711864406779661,-0.5706214689265536,-0.288135593220339,-0.6610169491525424,-0.2937853107344633,-0.751412429378531
B,0.0,0.0,0.14465408805031446,-0.06918238993710692,0.2389937106918239,-0.20125786163522014,0.11949685534591195,-0.3018867924528302,-0.012578616352201259,-0.3333333333333333,0.20125786163522014,-0.4779874213836478,0.2138364779874214,-0.660377358490566,0.22012578616352202,-0.7861635220125787,0.22012578616352202,-0.8930817610062893,0.07547169811320754,-0.5157232704402516,0.0880503144654088,-0.7421383647798742,0.10062893081761007,-0.8805031446540881,0.11320754716981132,-1.0,-0.031446540880503145,-0.5031446540880503,-0.031446540880503145,-0.7044025157232704,-0.012578616352201259,-0.8301886792452831,0.012578616352201259,-0.9433962264150944,-0.13836477987421383,-0.44654088050314467,-0.15723270440251572,-0.5974842767295597,-0.1509433962264151,-0.6855345911949685,-0.1320754716981132,-0.779874213836478
B,0.0,0.0,0.1568627450980392,-0.0718954248366013,0.26143790849673204,-0.20915032679738563,0.1568627450980392,-0.3202614379084967,0.026143790849673203,-0.33986928104575165,0.19607843137254902,-0.477124183006536,0.19607843137254902,-0.6601307189542484,0.17647058823529413,-0.7843137254901961,0.1568627450980392,-0.8954248366013072,0.06535947712418301,-0.5032679738562091,0.06535947712418301,-0.7254901960784313,0.05228758169934641,-0.869281045751634,0.0457516339869281,-1.0,-0.0392156862745098,-0.477124183006536,-0.058823529411764705,-0.6797385620915033,-0.06535947712418301,-0.8104575163398693,-0.0718954248366013,-0.9281045751633987,-0.1503267973856209,-0.4117647058823529,-0.17647058823529413,-0.5555555555555556,-0.1830065359477124,-0.6535947712418301,-0.1830065359477124,-0.7516339869281046
B,0.0,0.0,0.13496932515337423,-0.0736196319018405,0.19631901840490798,-0.22085889570552147,0.04294478527607362,-0.3128834355828221,-0.09202453987730061,-0.3496932515337423,0.13496932515337423,-0.48466257668711654,0.1165644171779141,-0.6687116564417178,0.09815950920245399,-0.7852760736196319,0.08588957055214724,-0.8895705521472392,0.012269938650306749,-0.5153374233128835,-0.012269938650306749,-0.7361963190184049,-0.018404907975460124,-0.8773006134969326,-0.024539877300613498,-1.0,-0.08588957055214724,-0.49693251533742333,-0.11042944785276074,-0.6932515337423313,-0.11042944785276074,-0.8220858895705522,-0.10429447852760736,-0.9325153374233128,-0.17791411042944785,-0.43558282208588955,-0.2147239263803681,-0.588957055214724,-0.22085889570552147,-0.6809815950920245,-0.2147239263803681,-0.7668711656441718
