label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
A,0.0,0.0,0.32710280373831774,-0.16822429906542055,0.5514018691588785,-0.4953271028037383,0.6261682242990654,-0.794392523364486,0.6448598130841121,-1.0,0.42990654205607476,-0.7009345794392523,0.4392523364485981,-0.9532710280373832,0.40186915887850466,-0.7009345794392523,0.3644859813084112,-0.6074766355140186,0.22429906542056074,-0.7009345794392523,0.2336448598130841,-0.9252336448598131,0.24299065420560748,-0.6261682242990654,0.21495327102803738,-0.5794392523364486,0.018691588785046728,-0.6542056074766355,0.037383177570093455,-0.8598130841121495,0.07476635514018691,-0.5700934579439252,0.06542056074766354,-0.5233644859813084,-0.18691588785046728,-0.5887850467289719,-0.14018691588785046,-0.719626168224299,-0.09345794392523364,-0.5327102803738317,-0.102803738317757,-0.48598130841121495
A,0.0,0.0,0.2403846153846154,-0.125,0.4807692307692308,-0.4519230769230769,0.5384615384615384,-0.7692307692307693,0.5288461538461539,-1.0,0.40384615384615385,-0.7403846153846154,0.375,-0.9615384615384616,0.3076923076923077,-0.7115384615384616,0.3173076923076923,-0.6442307692307693,0.20192307692307693,-0.7403846153846154,0.16346153846153846,-0.9423076923076923,0.15384615384615385,-0.6442307692307693,0.17307692307692307,-0.625,0.019230769230769232,-0.7019230769230769,-0.038461538461538464,-0.8653846153846154,-0.019230769230769232,-0.5961538461538461,0.028846153846153848,-0.5769230769230769,-0.16346153846153846,-0.6538461538461539,-0.22115384615384615,-0.7403846153846154,-0.17307692307692307,-0.5576923076923077,-0.11538461538461539,-0.5384615384615384
A,0.0,0.0,0.30327868852459017,-0.22950819672131148,0.45081967213114754,-0.5655737704918032,0.5,-0.8114754098360656,0.5327868852459017,-1.0,0.23770491803278687,-0.7868852459016393,0.3770491803278688,-0.9180327868852459,0.3770491803278688,-0.6721311475409836,0.29508196721311475,-0.639344262295082,0.04918032786885246,-0.7704918032786885,0.22131147540983606,-0.8770491803278688,0.2459016393442623,-0.6065573770491803,0.1557377049180328,-0.5983606557377049,-0.11475409836065574,-0.7049180327868853,0.06557377049180328,-0.7786885245901639,0.12295081967213115,-0.5327868852459017,0.02459016393442623,-0.5163934426229508,-0.2540983606557377,-0.6147540983606558,-0.06557377049180328,-0.6311475409836066,-0.00819672131147541,-0.4672131147540984,-0.09016393442622951,-0.45081967213114754
A,0.0,0.0,0.2956521739130435,-0.19130434782608696,0.4956521739130435,-0.5304347826086957,0.5652173913043478,-0.8,0.5739130434782609,-1.0,0.34782608695652173,-0.7391304347826086,0.391304347826087,-0.9478260869565217,0.3652173913043478,-0.6869565217391305,0.3130434782608696,-0.6521739130434783,0.14782608695652175,-0.7217391304347827,0.19130434782608696,-0.9043478260869565,0.20869565217391303,-0.6173913043478261,0.17391304347826086,-0.6260869565217392,-0.034782608695652174,-0.6608695652173913,0.0,-0.8260869565217391,0.06086956521739131,-0.5652173913043478,0.02608695652173913,-0.5652173913043478,-0.21739130434782608,-0.591304347826087,-0.1565217391304348,-0.6956521739130435,-0.10434782608695652,-0.5217391304347826,-0.1391304347826087,-0.5043478260869565
A,0.0,0.0,0.2571428571428571,-0.1523809523809524,0.4857142857142857,-0.49523809523809526,0.5523809523809524,-0.7714285714285715,0.5523809523809524,-1.0,0.3047619047619048,-0.9238095238095239,0.3523809523809524,-0.9142857142857143,0.3333333333333333,-0.6476190476190476,0.24761904761904763,-0.6666666666666666,0.047619047619047616,-0.9619047619047619,0.10476190476190476,-0.8571428571428571,0.13333333333333333,-0.5619047619047619,0.08571428571428572,-0.6476190476190476,-0.17142857142857143,-0.8857142857142857,-0.13333333333333333,-0.7428571428571429,-0.0380952380952381,-0.49523809523809526,-0.06666666666666667,-0.580952380952381,-0.3619047619047619,-0.7714285714285715,-0.3142857142857143,-0.580952380952381,-0.20952380952380953,-0.42857142857142855,-0.21904761904761905,-0.49523809523809526
A,0.0,0.0,0.40425531914893614,-0.20212765957446807,0.5851063829787234,-0.5212765957446809,0.648936170212766,-0.776595744680851,0.6808510638297872,-0.9680851063829787,0.39361702127659576,-0.723404255319149,0.46808510638297873,-0.9893617021276596,0.48936170212765956,-0.7659574468085106,0.425531914893617,-0.6276595744680851,0.22340425531914893,-0.7340425531914894,0.3191489361702128,-1.0,0.32978723404255317,-0.7127659574468085,0.2553191489361702,-0.5851063829787234,0.0425531914893617,-0.7127659574468085,0.13829787234042554,-0.9680851063829787,0.1702127659574468,-0.6702127659574468,0.10638297872340426,-0.5425531914893617,-0.18085106382978725,-0.648936170212766,-0.031914893617021274,-0.8617021276595744,0.02127659574468085,-0.648936170212766,-0.031914893617021274,-0.5319148936170213
A,0.0,0.0,0.2288135593220339,-0.17796610169491525,0.3813559322033898,-0.5,0.4067796610169492,-0.7966101694915254,0.3983050847457627,-1.0,0.2796610169491525,-0.6949152542372882,0.23728813559322035,-0.9152542372881356,0.211864406779661,-0.6949152542372882,0.211864406779661,-0.6271186440677966,0.11016949152542373,-0.6779661016949152,0.05084745762711865,-0.8813559322033898,0.0847457627118644,-0.6186440677966102,0.1016949152542373,-0.576271186440678,-0.05084745762711865,-0.6101694915254238,-0.11864406779661017,-0.7966101694915254,-0.059322033898305086,-0.5423728813559322,-0.01694915254237288,-0.5,-0.211864406779661,-0.5423728813559322,-0.2627118644067797,-0.635593220338983,-0.19491525423728814,-0.4830508474576271,-0.1440677966101695,-0.4661016949152542
A,0.0,0.0,0.19491525423728814,-0.2033898305084746,0.3305084745762712,-0.5338983050847458,0.3389830508474576,-0.8050847457627118,0.2966101694915254,-1.0,0.1694915254237288,-0.7627118644067796,0.1271186440677966,-0.9322033898305084,0.13559322033898305,-0.6694915254237288,0.13559322033898305,-0.652542372881356,-0.00847457627118644,-0.711864406779661,-0.05084745762711865,-0.8813559322033898,0.00847457627118644,-0.6016949152542372,0.00847457627118644,-0.6101694915254238,-0.17796610169491525,-0.6271186440677966,-0.2288135593220339,-0.7796610169491526,-0.1440677966101695,-0.5423728813559322,-0.11864406779661017,-0.5508474576271186,-0.3389830508474576,-0.5423728813559322,-0.3644067796610169,-0.6101694915254238,-0.2796610169491525,-0.4661016949152542,-0.23728813559322035,-0.4745762711864407
A,0.0,0.0,0.16393442622950818,-0.21311475409836064,0.26229508196721313,-0.5573770491803278,0.22950819672131148,-0.819672131147541,0.1557377049180328,-1.0,0.06557377049180328,-0.7704918032786885,0.0,-0.9262295081967213,0.04918032786885246,-0.6721311475409836,0.04918032786885246,-0.6557377049180327,-0.09836065573770492,-0.7049180327868853,-0.1721311475409836,-0.8360655737704918,-0.06557377049180328,-0.5819672131147541,-0.06557377049180328,-0.6065573770491803,-0.2540983606557377,-0.6065573770491803,-0.32786885245901637,-0.7295081967213115,-0.20491803278688525,-0.5081967213114754,-0.18032786885245902,-0.5327868852459017,-0.39344262295081966,-0.5081967213114754,-0.4344262295081967,-0.5491803278688525,-0.3360655737704918,-0.4262295081967213,-0.29508196721311475,-0.45081967213114754
A,0.0,0.0,0.25384615384615383,-0.26153846153846155,0.36153846153846153,-0.5769230769230769,0.3769230769230769,-0.823076923076923,0.36153846153846153,-1.0,0.18461538461538463,-0.7307692307692307,0.19230769230769232,-0.9461538461538461,0.2230769230769231,-0.7307692307692307,0.18461538461538463,-0.6307692307692307,0.023076923076923078,-0.7,0.038461538461538464,-0.9,0.1,-0.6461538461538462,0.06153846153846154,-0.5769230769230769,-0.13076923076923078,-0.6230769230769231,-0.12307692307692308,-0.8153846153846154,-0.023076923076923078,-0.5692307692307692,-0.046153846153846156,-0.5076923076923077,-0.3,-0.5153846153846153,-0.26153846153846155,-0.676923076923077,-0.16923076923076924,-0.5230769230769231,-0.18461538461538463,-0.45384615384615384
