label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
R,0.0,0.0,0.08053691275167785,-0.14093959731543623,0.06711409395973154,-0.3087248322147651,-0.053691275167785234,-0.4228187919463087,-0.18120805369127516,-0.5100671140939598,0.04697986577181208,-0.5570469798657718,-0.020134228187919462,-0.738255033557047,-0.087248322147651,-0.8523489932885906,-0.15436241610738255,-0.9530201342281879,-0.053691275167785234,-0.5302013422818792,-0.08053691275167785,-0.7651006711409396,-0.09395973154362416,-0.8926174496644296,-0.11409395973154363,-1.0,-0.1342281879194631,-0.4563758389261745,-0.21476510067114093,-0.5771812080536913,-0.1610738255033557,-0.4563758389261745,-0.10067114093959731,-0.3691275167785235,-0.19463087248322147,-0.348993288590604,-0.24161073825503357,-0.4429530201342282,-0.18120805369127516,-0.348993288590604,-0.12080536912751678,-0.2751677852348993
R,0.0,0.0,0.09271523178807947,-0.1390728476821192,0.08609271523178808,-0.31125827814569534,-0.033112582781456956,-0.423841059602649,-0.16556291390728478,-0.5099337748344371,0.033112582781456956,-0.5496688741721855,-0.039735099337748346,-0.7284768211920529,-0.10596026490066225,-0.8410596026490066,-0.17880794701986755,-0.9403973509933775,-0.059602649006622516,-0.5231788079470199,-0.09271523178807947,-0.7549668874172185,-0.11258278145695365,-0.8874172185430463,-0.13245033112582782,-1.0,-0.1456953642384106,-0.44370860927152317,-0.2119205298013245,-0.5827814569536424,-0.1390728476821192,-0.46357615894039733,-0.08609271523178808,-0.37748344370860926,-0.1986754966887417,-0.32450331125827814,-0.2251655629139073,-0.4304635761589404,-0.1456953642384106,-0.3443708609271523,-0.09271523178807947,-0.271523178807947
R,0.0,0.0,0.12582781456953643,-0.13245033112582782,0.13245033112582782,-0.33112582781456956,0.046357615894039736,-0.4503311258278146,-0.07947019867549669,-0.5231788079470199,0.033112582781456956,-0.5496688741721855,-0.026490066225165563,-0.7350993377483444,-0.07947019867549669,-0.8543046357615894,-0.1390728476821192,-0.9602649006622517,-0.06622516556291391,-0.5298013245033113,-0.09933774834437085,-0.7615894039735099,-0.09933774834437085,-0.8940397350993378,-0.10596026490066225,-1.0,-0.152317880794702,-0.4503311258278146,-0.1986754966887417,-0.6291390728476821,-0.10596026490066225,-0.5231788079470199,-0.046357615894039736,-0.423841059602649,-0.2119205298013245,-0.33774834437086093,-0.17880794701986755,-0.45695364238410596,-0.08609271523178808,-0.37748344370860926,-0.033112582781456956,-0.2847682119205298
R,0.0,0.0,0.12987012987012986,-0.12987012987012986,0.14935064935064934,-0.33116883116883117,0.09090909090909091,-0.474025974025974,-0.025974025974025976,-0.5454545454545454,0.025974025974025976,-0.538961038961039,-0.025974025974025976,-0.7402597402597403,-0.07142857142857142,-0.8571428571428571,-0.12337662337662338,-0.9675324675324676,-0.07142857142857142,-0.525974025974026,-0.11038961038961038,-0.7597402597402597,-0.1038961038961039,-0.8961038961038961,-0.1038961038961039,-1.0,-0.15584415584415584,-0.461038961038961,-0.16883116883116883,-0.6558441558441559,-0.07792207792207792,-0.538961038961039,-0.025974025974025976,-0.44155844155844154,-0.2077922077922078,-0.35714285714285715,-0.14285714285714285,-0.4805194805194805,-0.05844155844155844,-0.3961038961038961,-0.012987012987012988,-0.3051948051948052
R,0.0,0.0,0.11347517730496454,-0.14893617021276595,0.10638297872340426,-0.3475177304964539,0.0070921985815602835,-0.475177304964539,-0.11347517730496454,-0.5460992907801419,0.0,-0.5460992907801419,-0.07801418439716312,-0.7304964539007093,-0.14893617021276595,-0.851063829787234,-0.2127659574468085,-0.950354609929078,-0.09929078014184398,-0.524822695035461,-0.14184397163120568,-0.75177304964539,-0.14893617021276595,-0.8865248226950354,-0.1702127659574468,-1.0,-0.18439716312056736,-0.44680851063829785,-0.24822695035460993,-0.6312056737588653,-0.15602836879432624,-0.5390070921985816,-0.09219858156028368,-0.45390070921985815,-0.24113475177304963,-0.3333333333333333,-0.2198581560283688,-0.45390070921985815,-0.1276595744680851,-0.3829787234042553,-0.07092198581560284,-0.3049645390070922
R,0.0,0.0,0.1044776119402985,-0.17164179104477612,0.08208955223880597,-0.3805970149253731,-0.014925373134328358,-0.5,-0.1417910447761194,-0.5597014925373134,-0.08955223880597014,-0.5522388059701493,-0.19402985074626866,-0.7388059701492538,-0.26119402985074625,-0.8507462686567164,-0.3358208955223881,-0.9552238805970149,-0.1865671641791045,-0.5149253731343284,-0.27611940298507465,-0.746268656716418,-0.291044776119403,-0.8880597014925373,-0.31343283582089554,-1.0,-0.26119402985074625,-0.43283582089552236,-0.30597014925373134,-0.6268656716417911,-0.19402985074626866,-0.5373134328358209,-0.11194029850746269,-0.44029850746268656,-0.291044776119403,-0.3208955223880597,-0.2462686567164179,-0.4701492537313433,-0.1417910447761194,-0.40298507462686567,-0.07462686567164178,-0.31343283582089554
R,0.0,0.0,0.10294117647058823,-0.16911764705882354,0.08823529411764706,-0.38235294117647056,0.0,-0.5,-0.11764705882352941,-0.5661764705882353,-0.10294117647058823,-0.5588235294117647,-0.19117647058823528,-0.7426470588235294,-0.25735294117647056,-0.8602941176470589,-0.3161764705882353,-0.9632352941176471,-0.19852941176470587,-0.5147058823529411,-0.2867647058823529,-0.7426470588235294,-0.3088235294117647,-0.8897058823529411,-0.3235294117647059,-1.0,-0.2647058823529412,-0.4338235294117647,-0.29411764705882354,-0.625,-0.16911764705882354,-0.5367647058823529,-0.09558823529411764,-0.45588235294117646,-0.2867647058823529,-0.3235294117647059,-0.22794117647058823,-0.47058823529411764,-0.11764705882352941,-0.40441176470588236,-0.058823529411764705,-0.3235294117647059
R,0.0,0.0,0.11805555555555555,-0.1388888888888889,0.11805555555555555,-0.3333333333333333,0.020833333333333332,-0.4652777777777778,-0.09722222222222222,-0.5486111111111112,0.0625,-0.5486111111111112,0.0,-0.7361111111111112,-0.05555555555555555,-0.8541666666666666,-0.11805555555555555,-0.9583333333333334,-0.041666666666666664,-0.5277777777777778,-0.0625,-0.7638888888888888,-0.0625,-0.8888888888888888,-0.0763888888888889,-1.0,-0.13194444444444445,-0.4583333333333333,-0.1875,-0.6388888888888888,-0.1111111111111111,-0.5208333333333334,-0.0625,-0.4166666666666667,-0.2013888888888889,-0.3541666666666667,-0.19444444444444445,-0.4722222222222222,-0.1111111111111111,-0.3819444444444444,-0.0625,-0.2986111111111111
R,0.0,0.0,0.11486486486486487,-0.13513513513513514,0.12837837837837837,-0.31756756756756754,0.02702702702702703,-0.4594594594594595,-0.0945945945945946,-0.5675675675675675,0.12162162162162163,-0.5405405405405406,0.07432432432432433,-0.7297297297297297,0.02702702702702703,-0.8513513513513513,-0.02027027027027027,-0.9594594594594594,0.02027027027027027,-0.527027027027027,0.02702702702702703,-0.7635135135135135,0.02702702702702703,-0.8918918918918919,0.02702702702702703,-1.0,-0.06756756756756757,-0.4594594594594595,-0.12162162162162163,-0.6216216216216216,-0.06756756756756757,-0.4797297297297297,-0.02702702702702703,-0.3783783783783784,-0.1554054054054054,-0.3581081081081081,-0.16216216216216217,-0.4864864864864865,-0.10135135135135136,-0.38513513513513514,-0.06756756756756757,-0.2972972972972973
R,0.0,0.0,0.10884353741496598,-0.1292517006802721,0.1360544217687075,-0.29931972789115646,0.05442176870748299,-0.4489795918367347,-0.047619047619047616,-0.5714285714285714,0.17006802721088435,-0.5306122448979592,0.1360544217687075,-0.7210884353741497,0.10204081632653061,-0.8435374149659864,0.061224489795918366,-0.9523809523809523,0.06802721088435375,-0.5306122448979592,0.09523809523809523,-0.7619047619047619,0.10884353741496598,-0.891156462585034,0.10884353741496598,-1.0,-0.027210884353741496,-0.47619047619047616,-0.08163265306122448,-0.6122448979591837,-0.047619047619047616,-0.47619047619047616,-0.013605442176870748,-0.38095238095238093,-0.11564625850340136,-0.38095238095238093,-0.1360544217687075,-0.4897959183673469,-0.10204081632653061,-0.3945578231292517,-0.061224489795918366,-0.30612244897959184
