label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
B,0.0,0.0,0.16818181818181818,-0.10454545454545454,0.25,-0.30454545454545456,0.18181818181818182,-0.4681818181818182,0.05454545454545454,-0.5045454545454545,0.17727272727272728,-0.4954545454545455,0.18636363636363637,-0.6863636363636364,0.17727272727272728,-0.8090909090909091,0.16363636363636364,-0.9227272727272727,0.07272727272727272,-0.5181818181818182,0.08636363636363636,-0.7318181818181818,0.09090909090909091,-0.8772727272727273,0.09090909090909091,-1.0,-0.01818181818181818,-0.4909090909090909,-0.013636363636363636,-0.6954545454545454,0.0,-0.8318181818181818,0.013636363636363636,-0.9409090909090909,-0.11363636363636363,-0.4318181818181818,-0.11818181818181818,-0.5909090909090909,-0.10454545454545454,-0.7,-0.09545454545454546,-0.7954545454545454
B,0.0,0.0,0.13392857142857142,-0.09821428571428571,0.20982142857142858,-0.29017857142857145,0.11160714285714286,-0.45535714285714285,-0.026785714285714284,-0.48660714285714285,0.19196428571428573,-0.48214285714285715,0.1875,-0.6875,0.16071428571428573,-0.8125,0.13392857142857142,-0.9285714285714286,0.08928571428571429,-0.5044642857142857,0.08928571428571429,-0.7276785714285714,0.08482142857142858,-0.8705357142857143,0.07589285714285714,-1.0,-0.004464285714285714,-0.48214285714285715,-0.004464285714285714,-0.6875,0.008928571428571428,-0.8169642857142857,0.013392857142857142,-0.9285714285714286,-0.10267857142857142,-0.42857142857142855,-0.10267857142857142,-0.5848214285714286,-0.08928571428571429,-0.6919642857142857,-0.07589285714285714,-0.7901785714285714
B,0.0,0.0,0.15151515151515152,-0.12121212121212122,0.19913419913419914,-0.3116883116883117,0.16883116883116883,-0.4588744588744589,0.06926406926406926,-0.48484848484848486,0.0735930735930736,-0.5108225108225108,0.06493506493506493,-0.7012987012987013,0.05194805194805195,-0.8225108225108225,0.03463203463203463,-0.9307359307359307,-0.008658008658008658,-0.5151515151515151,-0.012987012987012988,-0.7316017316017316,-0.021645021645021644,-0.8744588744588745,-0.03896103896103896,-1.0,-0.08658008658008658,-0.4805194805194805,-0.09523809523809523,-0.6796536796536796,-0.09956709956709957,-0.8138528138528138,-0.10822510822510822,-0.9264069264069265,-0.16017316017316016,-0.41125541125541126,-0.1645021645021645,-0.5714285714285714,-0.16883116883116883,-0.6796536796536796,-0.17316017316017315,-0.7792207792207793
B,0.0,0.0,0.16299559471365638,-0.10572687224669604,0.24669603524229075,-0.29515418502202645,0.2026431718061674,-0.4581497797356828,0.07929515418502203,-0.5066079295154186,0.14096916299559473,-0.5066079295154186,0.14537444933920704,-0.7004405286343612,0.13215859030837004,-0.8237885462555066,0.1145374449339207,-0.933920704845815,0.04405286343612335,-0.5198237885462555,0.04405286343612335,-0.73568281938326,0.039647577092511016,-0.8810572687224669,0.030837004405286344,-1.0,-0.048458149779735685,-0.4889867841409692,-0.05286343612334802,-0.6960352422907489,-0.048458149779735685,-0.8325991189427313,-0.048458149779735685,-0.9427312775330396,-0.14096916299559473,-0.42731277533039647,-0.14537444933920704,-0.5859030837004405,-0.14096916299559473,-0.6916299559471366,-0.13215859030837004,-0.7929515418502202
B,0.0,0.0,0.16228070175438597,-0.10526315789473684,0.25,-0.3026315789473684,0.18859649122807018,-0.4692982456140351,0.05701754385964912,-0.5043859649122807,0.17982456140350878,-0.49122807017543857,0.18859649122807018,-0.6885964912280702,0.17543859649122806,-0.8157894736842105,0.15789473684210525,-0.9254385964912281,0.07894736842105263,-0.5131578947368421,0.08333333333333333,-0.7280701754385965,0.08333333333333333,-0.8771929824561403,0.07894736842105263,-1.0,-0.013157894736842105,-0.4868421052631579,-0.013157894736842105,-0.6929824561403509,0.0,-0.8245614035087719,0.008771929824561403,-0.9385964912280702,-0.11403508771929824,-0.4342105263157895,-0.11842105263157894,-0.5877192982456141,-0.10087719298245613,-0.6929824561403509,-0.08771929824561403,-0.793859649122807
B,0.0,0.0,0.1222707423580786,-0.1222707423580786,0.17467248908296942,-0.3231441048034934,0.0611353711790393,-0.4672489082969432,-0.07860262008733625,-0.4890829694323144,0.1222707423580786,-0.5152838427947598,0.08733624454148471,-0.7161572052401747,0.043668122270742356,-0.8384279475982532,0.004366812227074236,-0.9475982532751092,0.013100436681222707,-0.5240174672489083,-0.021834061135371178,-0.7379912663755459,-0.048034934497816595,-0.8777292576419214,-0.07423580786026202,-1.0,-0.07423580786026202,-0.4847161572052402,-0.10480349344978165,-0.6855895196506551,-0.11353711790393013,-0.8122270742358079,-0.12663755458515283,-0.9213973799126638,-0.1572052401746725,-0.4192139737991266,-0.17903930131004367,-0.5676855895196506,-0.17903930131004367,-0.6724890829694323,-0.17903930131004367,-0.7641921397379913
B,0.0,0.0,0.0815450643776824,-0.12446351931330472,0.08583690987124463,-0.30472103004291845,-0.034334763948497854,-0.43776824034334766,-0.1459227467811159,-0.5064377682403434,0.09012875536480687,-0.51931330472103,0.04721030042918455,-0.7296137339055794,0.008583690987124463,-0.8497854077253219,-0.02575107296137339,-0.9570815450643777,-0.008583690987124463,-0.5236051502145923,-0.04291845493562232,-0.7424892703862661,-0.07296137339055794,-0.8755364806866953,-0.0944206008583691,-1.0,-0.0944206008583691,-0.4892703862660944,-0.12017167381974249,-0.6909871244635193,-0.13304721030042918,-0.8111587982832618,-0.14163090128755365,-0.9227467811158798,-0.1630901287553648,-0.4248927038626609,-0.18454935622317598,-0.5836909871244635,-0.1888412017167382,-0.6824034334763949,-0.18454935622317598,-0.7725321888412017
B,0.0,0.0,0.14163090128755365,-0.11587982832618025,0.2145922746781116,-0.3090128755364807,0.12017167381974249,-0.47639484978540775,-0.017167381974248927,-0.4978540772532189,0.18454935622317598,-0.49356223175965663,0.18454935622317598,-0.6909871244635193,0.16738197424892703,-0.8154506437768241,0.1459227467811159,-0.927038626609442,0.07725321888412018,-0.5107296137339056,0.07725321888412018,-0.7339055793991416,0.07296137339055794,-0.8755364806866953,0.06437768240343347,-1.0,-0.017167381974248927,-0.4892703862660944,-0.02575107296137339,-0.6909871244635193,-0.017167381974248927,-0.8197424892703863,-0.012875536480686695,-0.927038626609442,-0.11158798283261803,-0.4291845493562232,-0.11587982832618025,-0.5879828326180258,-0.10300429184549356,-0.6909871244635193,-0.0944206008583691,-0.7811158798283262
B,0.0,0.0,0.13191489361702127,-0.11063829787234042,0.2,-0.30638297872340425,0.09361702127659574,-0.4723404255319149,-0.0425531914893617,-0.5063829787234042,0.17872340425531916,-0.49361702127659574,0.17446808510638298,-0.6936170212765957,0.14893617021276595,-0.8170212765957446,0.12340425531914893,-0.9276595744680851,0.07234042553191489,-0.5106382978723404,0.06382978723404255,-0.7319148936170212,0.05531914893617021,-0.8765957446808511,0.04680851063829787,-1.0,-0.02553191489361702,-0.4808510638297872,-0.03404255319148936,-0.6851063829787234,-0.02553191489361702,-0.8170212765957446,-0.02553191489361702,-0.9234042553191489,-0.1148936170212766,-0.425531914893617,-0.12340425531914893,-0.5829787234042553,-0.1148936170212766,-0.6851063829787234,-0.10638297872340426,-0.7787234042553192
B,0.0,0.0,0.1125,-0.12916666666666668,0.15416666666666667,-0.3125,0.0375,-0.4583333333333333,-0.09166666666666666,-0.49583333333333335,0.14166666666666666,-0.5041666666666667,0.12083333333333333,-0.7041666666666667,0.0875,-0.825,0.05416666666666667,-0.9375,0.0375,-0.5125,0.016666666666666666,-0.7333333333333333,-0.004166666666666667,-0.8708333333333333,-0.016666666666666666,-1.0,-0.05416666666666667,-0.48333333333333334,-0.07083333333333333,-0.6833333333333333,-0.07083333333333333,-0.8083333333333333,-0.075,-0.9166666666666666,-0.1375,-0.42083333333333334,-0.14583333333333334,-0.575,-0.14583333333333334,-0.6791666666666667,-0.14166666666666666,-0.775
