label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
I,0.0,0.0,0.19444444444444445,-0.12037037037037036,0.3055555555555556,-0.32407407407407407,0.26851851851851855,-0.5185185185185185,0.12037037037037036,-0.5925925925925926,0.25,-0.5925925925925926,0.25925925925925924,-0.8055555555555556,0.23148148148148148,-0.6388888888888888,0.21296296296296297,-0.5092592592592593,0.09259259259259259,-0.6018518518518519,0.07407407407407407,-0.7962962962962963,0.09259259259259259,-0.5740740740740741,0.12037037037037036,-0.4537037037037037,-0.06481481481481481,-0.5833333333333334,-0.10185185185185185,-0.7222222222222222,-0.027777777777777776,-0.5277777777777778,0.027777777777777776,-0.39814814814814814,-0.21296296296296297,-0.5462962962962963,-0.3055555555555556,-0.75,-0.37962962962962965,-0.8703703703703703,-0.4537037037037037,-1.0
I,0.0,0.0,0.19090909090909092,-0.10909090909090909,0.3090909090909091,-0.3090909090909091,0.2636363636363636,-0.4909090909090909,0.11818181818181818,-0.5727272727272728,0.2545454545454545,-0.5818181818181818,0.2636363636363636,-0.7818181818181819,0.22727272727272727,-0.6090909090909091,0.20909090909090908,-0.4818181818181818,0.09090909090909091,-0.5818181818181818,0.07272727272727272,-0.7727272727272727,0.09090909090909091,-0.5636363636363636,0.10909090909090909,-0.43636363636363634,-0.06363636363636363,-0.5636363636363636,-0.09090909090909091,-0.7,-0.02727272727272727,-0.509090909090909,0.01818181818181818,-0.38181818181818183,-0.2,-0.5363636363636364,-0.2818181818181818,-0.7454545454545455,-0.34545454545454546,-0.8727272727272727,-0.4,-1.0
I,0.0,0.0,0.19130434782608696,-0.09565217391304348,0.3130434782608696,-0.2956521739130435,0.26956521739130435,-0.4782608695652174,0.12173913043478261,-0.5652173913043478,0.2608695652173913,-0.5565217391304348,0.2782608695652174,-0.7478260869565218,0.24347826086956523,-0.5826086956521739,0.22608695652173913,-0.4608695652173913,0.11304347826086956,-0.5652173913043478,0.10434782608695652,-0.7565217391304347,0.10434782608695652,-0.5565217391304348,0.12173913043478261,-0.45217391304347826,-0.02608695652173913,-0.5478260869565217,-0.043478260869565216,-0.6608695652173913,0.008695652173913044,-0.4782608695652174,0.043478260869565216,-0.3565217391304348,-0.1565217391304348,-0.5217391304347826,-0.19130434782608696,-0.7391304347826086,-0.21739130434782608,-0.8695652173913043,-0.23478260869565218,-1.0
I,0.0,0.0,0.19491525423728814,-0.09322033898305085,0.3220338983050847,-0.288135593220339,0.288135593220339,-0.4745762711864407,0.13559322033898305,-0.559322033898305,0.2711864406779661,-0.5338983050847458,0.3050847457627119,-0.7288135593220338,0.2711864406779661,-0.559322033898305,0.2457627118644068,-0.4406779661016949,0.13559322033898305,-0.5508474576271186,0.1440677966101695,-0.7288135593220338,0.13559322033898305,-0.5338983050847458,0.15254237288135594,-0.4406779661016949,0.0,-0.5338983050847458,0.00847457627118644,-0.6610169491525424,0.0423728813559322,-0.4576271186440678,0.07627118644067797,-0.3305084745762712,-0.13559322033898305,-0.5169491525423728,-0.11864406779661017,-0.7288135593220338,-0.11016949152542373,-0.8728813559322034,-0.09322033898305085,-1.0
I,0.0,0.0,0.2037037037037037,-0.1111111111111111,0.3333333333333333,-0.3148148148148148,0.2962962962962963,-0.5,0.1574074074074074,-0.5925925925925926,0.28703703703703703,-0.5925925925925926,0.2962962962962963,-0.7962962962962963,0.26851851851851855,-0.6388888888888888,0.25,-0.5092592592592593,0.12962962962962962,-0.5925925925925926,0.12037037037037036,-0.7962962962962963,0.12962962962962962,-0.5925925925925926,0.14814814814814814,-0.46296296296296297,-0.027777777777777776,-0.5740740740740741,-0.046296296296296294,-0.7129629629629629,0.009259259259259259,-0.5185185185185185,0.05555555555555555,-0.3888888888888889,-0.16666666666666666,-0.5462962962962963,-0.23148148148148148,-0.75,-0.28703703703703703,-0.8703703703703703,-0.3333333333333333,-1.0
I,0.0,0.0,0.19626168224299065,-0.102803738317757,0.3177570093457944,-0.3177570093457944,0.29906542056074764,-0.514018691588785,0.14953271028037382,-0.5887850467289719,0.27102803738317754,-0.5700934579439252,0.2803738317757009,-0.7850467289719626,0.2523364485981308,-0.616822429906542,0.2336448598130841,-0.5046728971962616,0.12149532710280374,-0.5794392523364486,0.102803738317757,-0.7757009345794392,0.12149532710280374,-0.5607476635514018,0.14018691588785046,-0.4485981308411215,-0.037383177570093455,-0.5700934579439252,-0.06542056074766354,-0.7102803738317757,0.0,-0.514018691588785,0.04672897196261682,-0.3925233644859813,-0.17757009345794392,-0.5420560747663551,-0.2523364485981308,-0.7476635514018691,-0.308411214953271,-0.8691588785046729,-0.35514018691588783,-1.0
I,0.0,0.0,0.19626168224299065,-0.11214953271028037,0.3177570093457944,-0.308411214953271,0.2803738317757009,-0.5046728971962616,0.1308411214953271,-0.6074766355140186,0.2897196261682243,-0.5700934579439252,0.2897196261682243,-0.7850467289719626,0.24299065420560748,-0.6355140186915887,0.2336448598130841,-0.514018691588785,0.14018691588785046,-0.5794392523364486,0.11214953271028037,-0.7757009345794392,0.11214953271028037,-0.5794392523364486,0.1308411214953271,-0.48598130841121495,-0.009345794392523364,-0.5700934579439252,-0.04672897196261682,-0.7102803738317757,0.0,-0.514018691588785,0.04672897196261682,-0.3925233644859813,-0.14953271028037382,-0.5420560747663551,-0.22429906542056074,-0.7383177570093458,-0.2803738317757009,-0.8691588785046729,-0.32710280373831774,-1.0
I,0.0,0.0,0.19444444444444445,-0.1111111111111111,0.2962962962962963,-0.3148148148148148,0.2222222222222222,-0.5092592592592593,0.07407407407407407,-0.6018518518518519,0.2962962962962963,-0.5555555555555556,0.26851851851851855,-0.7685185185185185,0.21296296296296297,-0.6296296296296297,0.2037037037037037,-0.5092592592592593,0.1388888888888889,-0.5648148148148148,0.10185185185185185,-0.7685185185185185,0.07407407407407407,-0.6018518518518519,0.10185185185185185,-0.5185185185185185,-0.009259259259259259,-0.5555555555555556,-0.06481481481481481,-0.6944444444444444,-0.037037037037037035,-0.5185185185185185,0.018518518518518517,-0.3888888888888889,-0.14814814814814814,-0.5277777777777778,-0.2222222222222222,-0.7314814814814815,-0.28703703703703703,-0.8703703703703703,-0.3333333333333333,-1.0
I,0.0,0.0,0.19090909090909092,-0.10909090909090909,0.3181818181818182,-0.3,0.2909090909090909,-0.4909090909090909,0.15454545454545454,-0.5818181818181818,0.2818181818181818,-0.5454545454545454,0.2909090909090909,-0.7545454545454545,0.2545454545454545,-0.6,0.24545454545454545,-0.4818181818181818,0.13636363636363635,-0.5545454545454546,0.12727272727272726,-0.7636363636363637,0.12727272727272726,-0.5818181818181818,0.14545454545454545,-0.4818181818181818,-0.00909090909090909,-0.5454545454545454,-0.03636363636363636,-0.6727272727272727,0.01818181818181818,-0.4909090909090909,0.06363636363636363,-0.37272727272727274,-0.14545454545454545,-0.5181818181818182,-0.19090909090909092,-0.7272727272727273,-0.22727272727272727,-0.8636363636363636,-0.2545454545454545,-1.0
I,0.0,0.0,0.21495327102803738,-0.11214953271028037,0.34579439252336447,-0.34579439252336447,0.3364485981308411,-0.5607476635514018,0.18691588785046728,-0.6355140186915887,0.24299065420560748,-0.5887850467289719,0.2616822429906542,-0.8130841121495327,0.2616822429906542,-0.6542056074766355,0.2616822429906542,-0.5233644859813084,0.102803738317757,-0.5794392523364486,0.08411214953271028,-0.7850467289719626,0.1308411214953271,-0.5887850467289719,0.1588785046728972,-0.45794392523364486,-0.037383177570093455,-0.5514018691588785,-0.056074766355140186,-0.6915887850467289,0.028037383177570093,-0.5046728971962616,0.07476635514018691,-0.37383177570093457,-0.17757009345794392,-0.514018691588785,-0.2336448598130841,-0.7289719626168224,-0.2616822429906542,-0.8598130841121495,-0.2897196261682243,-1.0
