label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
Y,0.0,0.0,0.24561403508771928,-0.10526315789473684,0.4473684210526316,-0.3157894736842105,0.6228070175438597,-0.4824561403508772,0.7807017543859649,-0.5701754385964912,0.3333333333333333,-0.5614035087719298,0.2631578947368421,-0.7368421052631579,0.2807017543859649,-0.5350877192982456,0.30701754385964913,-0.47368421052631576,0.16666666666666666,-0.5614035087719298,0.10526315789473684,-0.6666666666666666,0.14035087719298245,-0.40350877192982454,0.20175438596491227,-0.4298245614035088,0.008771929824561403,-0.543859649122807,-0.05263157894736842,-0.6228070175438597,0.0,-0.41228070175438597,0.05263157894736842,-0.3684210526315789,-0.14035087719298245,-0.543859649122807,-0.19298245614035087,-0.7456140350877193,-0.21929824561403508,-0.8596491228070176,-0.2543859649122807,-1.0
Y,0.0,0.0,0.23684210526315788,-0.10526315789473684,0.43859649122807015,-0.3157894736842105,0.6140350877192983,-0.49122807017543857,0.7719298245614035,-0.5701754385964912,0.32456140350877194,-0.5701754385964912,0.2543859649122807,-0.7368421052631579,0.2719298245614035,-0.543859649122807,0.2982456140350877,-0.4824561403508772,0.15789473684210525,-0.5701754385964912,0.09649122807017543,-0.6666666666666666,0.13157894736842105,-0.41228070175438597,0.19298245614035087,-0.4298245614035088,0.0,-0.5526315789473685,-0.05263157894736842,-0.6228070175438597,-0.008771929824561403,-0.42105263157894735,0.043859649122807015,-0.37719298245614036,-0.14912280701754385,-0.543859649122807,-0.19298245614035087,-0.7456140350877193,-0.22807017543859648,-0.8596491228070176,-0.2631578947368421,-1.0
Y,0.0,0.0,0.2641509433962264,-0.1792452830188679,0.4528301886792453,-0.4339622641509434,0.6037735849056604,-0.6320754716981132,0.7358490566037735,-0.7452830188679245,0.20754716981132076,-0.6320754716981132,0.20754716981132076,-0.8301886792452831,0.24528301886792453,-0.6226415094339622,0.22641509433962265,-0.5754716981132075,0.03773584905660377,-0.6037735849056604,0.05660377358490566,-0.7169811320754716,0.12264150943396226,-0.46226415094339623,0.11320754716981132,-0.5,-0.12264150943396226,-0.5566037735849056,-0.10377358490566038,-0.6509433962264151,-0.02830188679245283,-0.44339622641509435,-0.02830188679245283,-0.41509433962264153,-0.2641509433962264,-0.5283018867924528,-0.32075471698113206,-0.7358490566037735,-0.330188679245283,-0.8490566037735849,-0.37735849056603776,-1.0
Y,0.0,0.0,0.2641509433962264,-0.1792452830188679,0.4528301886792453,-0.42452830188679247,0.6037735849056604,-0.6226415094339622,0.7358490566037735,-0.7358490566037735,0.20754716981132076,-0.6320754716981132,0.20754716981132076,-0.8301886792452831,0.24528301886792453,-0.6132075471698113,0.22641509433962265,-0.5754716981132075,0.03773584905660377,-0.5943396226415094,0.05660377358490566,-0.7169811320754716,0.12264150943396226,-0.46226415094339623,0.11320754716981132,-0.5,-0.12264150943396226,-0.5566037735849056,-0.10377358490566038,-0.660377358490566,-0.02830188679245283,-0.44339622641509435,-0.02830188679245283,-0.41509433962264153,-0.2641509433962264,-0.5283018867924528,-0.32075471698113206,-0.7358490566037735,-0.330188679245283,-0.8490566037735849,-0.37735849056603776,-1.0
Y,0.0,0.0,0.26666666666666666,-0.17142857142857143,0.44761904761904764,-0.42857142857142855,0.6,-0.6285714285714286,0.7428571428571429,-0.7428571428571429,0.2,-0.638095238095238,0.20952380952380953,-0.8285714285714286,0.24761904761904763,-0.6190476190476191,0.21904761904761905,-0.5714285714285714,0.02857142857142857,-0.6095238095238096,0.05714285714285714,-0.7238095238095238,0.12380952380952381,-0.4666666666666667,0.10476190476190476,-0.5047619047619047,-0.12380952380952381,-0.5619047619047619,-0.10476190476190476,-0.6571428571428571,-0.02857142857142857,-0.44761904761904764,-0.0380952380952381,-0.41904761904761906,-0.26666666666666666,-0.5333333333333333,-0.3238095238095238,-0.7428571428571429,-0.3333333333333333,-0.8571428571428571,-0.38095238095238093,-1.0
Y,0.0,0.0,0.24761904761904763,-0.2,0.42857142857142855,-0.45714285714285713,0.5619047619047619,-0.6571428571428571,0.6857142857142857,-0.7619047619047619,0.1523809523809524,-0.6285714285714286,0.2,-0.819047619047619,0.23809523809523808,-0.6190476190476191,0.2,-0.5714285714285714,0.0,-0.6,0.05714285714285714,-0.7238095238095238,0.11428571428571428,-0.49523809523809526,0.0761904761904762,-0.5047619047619047,-0.14285714285714285,-0.5523809523809524,-0.10476190476190476,-0.6666666666666666,-0.02857142857142857,-0.45714285714285713,-0.047619047619047616,-0.4095238095238095,-0.2857142857142857,-0.5238095238095238,-0.3333333333333333,-0.7333333333333333,-0.3333333333333333,-0.8476190476190476,-0.37142857142857144,-1.0
Y,0.0,0.0,0.25,-0.21153846153846154,0.4230769230769231,-0.47115384615384615,0.5480769230769231,-0.6730769230769231,0.6730769230769231,-0.7788461538461539,0.15384615384615385,-0.6442307692307693,0.19230769230769232,-0.8365384615384616,0.23076923076923078,-0.6346153846153846,0.19230769230769232,-0.5865384615384616,-0.009615384615384616,-0.6057692307692307,0.04807692307692308,-0.7307692307692307,0.11538461538461539,-0.5,0.07692307692307693,-0.5096153846153846,-0.15384615384615385,-0.5576923076923077,-0.10576923076923077,-0.6634615384615384,-0.028846153846153848,-0.4519230769230769,-0.04807692307692308,-0.41346153846153844,-0.28846153846153844,-0.5192307692307693,-0.34615384615384615,-0.7307692307692307,-0.34615384615384615,-0.8461538461538461,-0.375,-1.0
Y,0.0,0.0,0.2524271844660194,-0.21359223300970873,0.3883495145631068,-0.4854368932038835,0.49514563106796117,-0.6796116504854369,0.6019417475728155,-0.7864077669902912,0.0970873786407767,-0.6310679611650486,0.18446601941747573,-0.8349514563106796,0.22330097087378642,-0.6310679611650486,0.17475728155339806,-0.5631067961165048,-0.02912621359223301,-0.6116504854368932,0.07766990291262135,-0.7378640776699029,0.11650485436893204,-0.5048543689320388,0.05825242718446602,-0.4854368932038835,-0.1553398058252427,-0.5631067961165048,-0.05825242718446602,-0.6796116504854369,0.0,-0.4563106796116505,-0.04854368932038835,-0.39805825242718446,-0.2815533980582524,-0.5145631067961165,-0.3300970873786408,-0.7378640776699029,-0.3106796116504854,-0.8543689320388349,-0.3300970873786408,-1.0
Y,0.0,0.0,0.24271844660194175,-0.1941747572815534,0.3883495145631068,-0.46601941747572817,0.4854368932038835,-0.6601941747572816,0.5922330097087378,-0.7669902912621359,0.0970873786407767,-0.6213592233009708,0.1941747572815534,-0.8155339805825242,0.22330097087378642,-0.6116504854368932,0.17475728155339806,-0.5436893203883495,-0.02912621359223301,-0.5922330097087378,0.08737864077669903,-0.7184466019417476,0.1262135922330097,-0.4854368932038835,0.05825242718446602,-0.46601941747572817,-0.14563106796116504,-0.5533980582524272,-0.04854368932038835,-0.6601941747572816,0.0,-0.4368932038834951,-0.04854368932038835,-0.3786407766990291,-0.2815533980582524,-0.5048543689320388,-0.32038834951456313,-0.7378640776699029,-0.2912621359223301,-0.8543689320388349,-0.30097087378640774,-1.0
Y,0.0,0.0,0.23655913978494625,-0.27956989247311825,0.3333333333333333,-0.6129032258064516,0.40860215053763443,-0.8602150537634409,0.5053763440860215,-1.0,-0.010752688172043012,-0.6989247311827957,-0.021505376344086023,-0.9139784946236559,0.08602150537634409,-0.7096774193548387,0.06451612903225806,-0.6344086021505376,-0.17204301075268819,-0.6344086021505376,-0.12903225806451613,-0.7849462365591398,0.0,-0.5483870967741935,-0.043010752688172046,-0.5376344086021505,-0.3118279569892473,-0.5483870967741935,-0.27956989247311825,-0.6774193548387096,-0.13978494623655913,-0.4731182795698925,-0.13978494623655913,-0.40860215053763443,-0.45161290322580644,-0.46236559139784944,-0.5698924731182796,-0.6881720430107527,-0.5913978494623656,-0.8172043010752689,-0.6666666666666666,-0.967741935483871
