label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
K,0.0,0.0,-0.09401709401709402,-0.18803418803418803,-0.08547008547008547,-0.4017094017094017,-0.008547008547008548,-0.5982905982905983,0.05982905982905983,-0.7264957264957265,-0.1623931623931624,-0.49572649572649574,-0.017094017094017096,-0.7606837606837606,0.042735042735042736,-0.8888888888888888,0.07692307692307693,-1.0,-0.06837606837606838,-0.452991452991453,0.1452991452991453,-0.7094017094017094,0.2905982905982906,-0.8205128205128205,0.37606837606837606,-0.9145299145299145,0.05128205128205128,-0.39316239316239315,0.26495726495726496,-0.5555555555555556,0.26495726495726496,-0.4700854700854701,0.2222222222222222,-0.39316239316239315,0.1623931623931624,-0.3333333333333333,0.3162393162393162,-0.46153846153846156,0.3076923076923077,-0.39316239316239315,0.26495726495726496,-0.3247863247863248
K,0.0,0.0,-0.0603448275862069,-0.19827586206896552,-0.0603448275862069,-0.41379310344827586,0.008620689655172414,-0.5775862068965517,0.09482758620689655,-0.6896551724137931,-0.1810344827586207,-0.5172413793103449,-0.017241379310344827,-0.7758620689655172,0.06896551724137931,-0.896551724137931,0.1206896551724138,-1.0,-0.1206896551724138,-0.45689655172413796,0.1206896551724138,-0.7155172413793104,0.27586206896551724,-0.8448275862068966,0.3879310344827586,-0.9396551724137931,-0.034482758620689655,-0.4051724137931034,0.22413793103448276,-0.5603448275862069,0.2672413793103448,-0.4482758620689655,0.25,-0.3620689655172414,0.0603448275862069,-0.3448275862068966,0.2672413793103448,-0.47413793103448276,0.29310344827586204,-0.39655172413793105,0.27586206896551724,-0.31896551724137934
K,0.0,0.0,-0.0847457627118644,-0.2033898305084746,-0.05084745762711865,-0.423728813559322,0.06779661016949153,-0.5932203389830508,0.1694915254237288,-0.7033898305084746,-0.07627118644067797,-0.5,0.07627118644067797,-0.7627118644067796,0.16101694915254236,-0.8983050847457628,0.22033898305084745,-1.0,0.03389830508474576,-0.4322033898305085,0.2542372881355932,-0.6694915254237288,0.3983050847457627,-0.7627118644067796,0.4915254237288136,-0.8220338983050848,0.15254237288135594,-0.3559322033898305,0.3220338983050847,-0.5338983050847458,0.3135593220338983,-0.4915254237288136,0.2627118644067797,-0.4322033898305085,0.2627118644067797,-0.2796610169491525,0.3813559322033898,-0.4491525423728814,0.3559322033898305,-0.4067796610169492,0.3220338983050847,-0.3474576271186441
K,0.0,0.0,-0.12080536912751678,-0.18120805369127516,-0.14093959731543623,-0.4228187919463087,-0.06711409395973154,-0.6375838926174496,0.006711409395973154,-0.7919463087248322,-0.2751677852348993,-0.42953020134228187,-0.1476510067114094,-0.7248322147651006,-0.0738255033557047,-0.8791946308724832,-0.020134228187919462,-1.0,-0.16778523489932887,-0.35570469798657717,0.04697986577181208,-0.6778523489932886,0.18791946308724833,-0.785234899328859,0.2684563758389262,-0.8523489932885906,-0.03355704697986577,-0.30201342281879195,0.15436241610738255,-0.5637583892617449,0.1610738255033557,-0.4966442953020134,0.11409395973154363,-0.4161073825503356,0.10067114093959731,-0.2550335570469799,0.22818791946308725,-0.48322147651006714,0.22818791946308725,-0.42953020134228187,0.19463087248322147,-0.35570469798657717
K,0.0,0.0,-0.07333333333333333,-0.19333333333333333,-0.08666666666666667,-0.43333333333333335,-0.013333333333333334,-0.64,0.05333333333333334,-0.7866666666666666,-0.2866666666666667,-0.46,-0.13333333333333333,-0.7333333333333333,-0.05333333333333334,-0.88,0.013333333333333334,-1.0,-0.21333333333333335,-0.38,0.04666666666666667,-0.66,0.20666666666666667,-0.7733333333333333,0.31333333333333335,-0.8533333333333334,-0.11333333333333333,-0.30666666666666664,0.14,-0.5333333333333333,0.16,-0.4533333333333333,0.11333333333333333,-0.37333333333333335,0.0,-0.24666666666666667,0.19333333333333333,-0.44666666666666666,0.21333333333333335,-0.3933333333333333,0.17333333333333334,-0.32666666666666666
K,0.0,0.0,-0.09859154929577464,-0.19718309859154928,-0.04225352112676056,-0.45774647887323944,0.1056338028169014,-0.647887323943662,0.2112676056338028,-0.7676056338028169,-0.14788732394366197,-0.4507042253521127,0.035211267605633804,-0.7394366197183099,0.14084507042253522,-0.8873239436619719,0.22535211267605634,-1.0,-0.035211267605633804,-0.3380281690140845,0.22535211267605634,-0.6408450704225352,0.3591549295774648,-0.7535211267605634,0.4507042253521127,-0.823943661971831,0.09154929577464789,-0.24647887323943662,0.29577464788732394,-0.5352112676056338,0.2535211267605634,-0.49295774647887325,0.176056338028169,-0.4295774647887324,0.21830985915492956,-0.176056338028169,0.3591549295774648,-0.43661971830985913,0.31690140845070425,-0.4084507042253521,0.2605633802816901,-0.352112676056338
K,0.0,0.0,-0.1452513966480447,-0.16201117318435754,-0.17318435754189945,-0.3575418994413408,-0.0782122905027933,-0.5083798882681564,0.0223463687150838,-0.5810055865921788,-0.11731843575418995,-0.45251396648044695,-0.09497206703910614,-0.7374301675977654,-0.0893854748603352,-0.88268156424581,-0.0893854748603352,-1.0,0.027932960893854747,-0.4245810055865922,0.10614525139664804,-0.6871508379888268,0.1564245810055866,-0.8156424581005587,0.19553072625698323,-0.8994413407821229,0.16201117318435754,-0.37988826815642457,0.17318435754189945,-0.5363128491620112,0.12849162011173185,-0.49162011173184356,0.10614525139664804,-0.4245810055865922,0.26256983240223464,-0.3240223463687151,0.24022346368715083,-0.46368715083798884,0.19553072625698323,-0.4245810055865922,0.18435754189944134,-0.3687150837988827
K,0.0,0.0,-0.16111111111111112,-0.17222222222222222,-0.19444444444444445,-0.36666666666666664,-0.08333333333333333,-0.5,0.022222222222222223,-0.55,-0.06111111111111111,-0.42777777777777776,-0.07222222222222222,-0.7222222222222222,-0.06111111111111111,-0.8777777777777778,-0.06111111111111111,-1.0,0.08888888888888889,-0.4,0.08888888888888889,-0.6833333333333333,0.1,-0.8055555555555556,0.11666666666666667,-0.8888888888888888,0.2,-0.3611111111111111,0.1388888888888889,-0.5333333333333333,0.07777777777777778,-0.4888888888888889,0.05555555555555555,-0.4166666666666667,0.2777777777777778,-0.31666666666666665,0.19444444444444445,-0.45,0.1388888888888889,-0.4166666666666667,0.12777777777777777,-0.35555555555555557
K,0.0,0.0,-0.09659090909090909,-0.17613636363636365,-0.09659090909090909,-0.38636363636363635,-0.017045454545454544,-0.5795454545454546,0.03977272727272727,-0.7102272727272727,-0.14772727272727273,-0.45454545454545453,-0.05113636363636364,-0.7443181818181818,-0.017045454545454544,-0.8863636363636364,0.0,-1.0,-0.03409090909090909,-0.3977272727272727,0.13068181818181818,-0.6704545454545454,0.23863636363636365,-0.8011363636363636,0.3068181818181818,-0.8920454545454546,0.09659090909090909,-0.3409090909090909,0.2159090909090909,-0.5340909090909091,0.21022727272727273,-0.4715909090909091,0.17045454545454544,-0.4034090909090909,0.2159090909090909,-0.2840909090909091,0.2897727272727273,-0.45454545454545453,0.2727272727272727,-0.3977272727272727,0.23863636363636365,-0.32954545454545453
K,0.0,0.0,-0.10852713178294573,-0.18604651162790697,-0.11627906976744186,-0.40310077519379844,-0.046511627906976744,-0.5968992248062015,0.015503875968992248,-0.7286821705426356,-0.17829457364341086,-0.4728682170542636,-0.05426356589147287,-0.751937984496124,0.0,-0.8914728682170543,0.031007751937984496,-1.0,-0.06201550387596899,-0.4263565891472868,0.11627906976744186,-0.689922480620155,0.24031007751937986,-0.813953488372093,0.32558139534883723,-0.8992248062015504,0.06976744186046512,-0.37209302325581395,0.20930232558139536,-0.5581395348837209,0.20930232558139536,-0.49612403100775193,0.17054263565891473,-0.43410852713178294,0.1937984496124031,-0.32558139534883723,0.2868217054263566,-0.4883720930232558,0.2713178294573643,-0.4263565891472868,0.24031007751937986,-0.3643410852713178
