label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
L,0.0,0.0,0.17901234567901234,-0.08641975308641975,0.35185185185185186,-0.24074074074074073,0.5,-0.3395061728395062,0.6296296296296297,-0.3888888888888889,0.17901234567901234,-0.5308641975308642,0.21604938271604937,-0.7469135802469136,0.22839506172839505,-0.8827160493827161,0.24074074074074073,-1.0,0.037037037037037035,-0.5246913580246914,-0.030864197530864196,-0.5802469135802469,-0.018518518518518517,-0.3950617283950617,0.012345679012345678,-0.25925925925925924,-0.09259259259259259,-0.48148148148148145,-0.16666666666666666,-0.4876543209876543,-0.11728395061728394,-0.32098765432098764,-0.06172839506172839,-0.20987654320987653,-0.21604938271604937,-0.41358024691358025,-0.2839506172839506,-0.46296296296296297,-0.22839506172839505,-0.345679012345679,-0.16666666666666666,-0.2654320987654321
L,0.0,0.0,0.1875,-0.0875,0.3625,-0.2375,0.5125,-0.35,0.6375,-0.4,0.1875,-0.525,0.225,-0.75,0.2375,-0.8875,0.25625,-1.0,0.04375,-0.5125,-0.01875,-0.6,-0.00625,-0.41875,0.025,-0.28125,-0.0875,-0.46875,-0.15625,-0.5,-0.10625,-0.33125,-0.05,-0.21875,-0.2125,-0.40625,-0.26875,-0.4625,-0.21875,-0.35,-0.15625,-0.26875
L,0.0,0.0,0.17791411042944785,-0.13496932515337423,0.3128834355828221,-0.32515337423312884,0.4294478527607362,-0.4785276073619632,0.5276073619631901,-0.5644171779141104,0.07975460122699386,-0.5460122699386503,0.06748466257668712,-0.7607361963190185,0.04294478527607362,-0.8895705521472392,0.03680981595092025,-1.0,-0.05521472392638037,-0.49693251533742333,-0.12883435582822086,-0.6073619631901841,-0.07975460122699386,-0.44171779141104295,-0.018404907975460124,-0.3067484662576687,-0.17177914110429449,-0.4171779141104294,-0.2331288343558282,-0.4785276073619632,-0.15337423312883436,-0.3312883435582822,-0.08588957055214724,-0.22085889570552147,-0.27607361963190186,-0.3312883435582822,-0.3312883435582822,-0.4110429447852761,-0.26380368098159507,-0.3128834355828221,-0.20245398773006135,-0.2392638036809816
L,0.0,0.0,0.22666666666666666,-0.07333333333333333,0.44666666666666666,-0.22666666666666666,0.6266666666666667,-0.3333333333333333,0.7733333333333333,-0.37333333333333335,0.29333333333333333,-0.5266666666666666,0.38,-0.7466666666666667,0.4266666666666667,-0.8866666666666667,0.4666666666666667,-1.0,0.14666666666666667,-0.5333333333333333,0.13333333333333333,-0.66,0.11333333333333333,-0.47333333333333333,0.10666666666666667,-0.31333333333333335,-0.006666666666666667,-0.5,-0.02,-0.58,-0.006666666666666667,-0.38666666666666666,0.013333333333333334,-0.25333333333333335,-0.14666666666666667,-0.44666666666666666,-0.16,-0.5533333333333333,-0.12,-0.4266666666666667,-0.08666666666666667,-0.32666666666666666
L,0.0,0.0,0.18072289156626506,-0.1144578313253012,0.3313253012048193,-0.2891566265060241,0.4578313253012048,-0.42771084337349397,0.5662650602409639,-0.5,0.13855421686746988,-0.536144578313253,0.14457831325301204,-0.7530120481927711,0.14457831325301204,-0.891566265060241,0.1566265060240964,-1.0,-0.006024096385542169,-0.5060240963855421,-0.05421686746987952,-0.6024096385542169,-0.024096385542168676,-0.42771084337349397,0.024096385542168676,-0.2891566265060241,-0.13253012048192772,-0.4397590361445783,-0.1746987951807229,-0.4939759036144578,-0.10843373493975904,-0.3313253012048193,-0.05421686746987952,-0.22289156626506024,-0.2469879518072289,-0.35542168674698793,-0.2891566265060241,-0.4397590361445783,-0.22289156626506024,-0.3373493975903614,-0.1686746987951807,-0.25301204819277107
L,0.0,0.0,0.20496894409937888,-0.12422360248447205,0.36024844720496896,-0.30434782608695654,0.4782608695652174,-0.4472049689440994,0.5838509316770186,-0.5217391304347826,0.16770186335403728,-0.5403726708074534,0.18633540372670807,-0.7577639751552795,0.18633540372670807,-0.8881987577639752,0.19875776397515527,-1.0,0.024844720496894408,-0.515527950310559,-0.018633540372670808,-0.6521739130434783,0.012422360248447204,-0.4782608695652174,0.049689440993788817,-0.32298136645962733,-0.10559006211180125,-0.453416149068323,-0.13664596273291926,-0.546583850931677,-0.08074534161490683,-0.37267080745341613,-0.043478260869565216,-0.2484472049689441,-0.22981366459627328,-0.37267080745341613,-0.2608695652173913,-0.4906832298136646,-0.19875776397515527,-0.37888198757763975,-0.15527950310559005,-0.2857142857142857
L,0.0,0.0,0.18452380952380953,-0.125,0.32142857142857145,-0.31547619047619047,0.43452380952380953,-0.4583333333333333,0.5357142857142857,-0.5357142857142857,0.1130952380952381,-0.5416666666666666,0.1130952380952381,-0.7559523809523809,0.10119047619047619,-0.8869047619047619,0.10119047619047619,-1.0,-0.023809523809523808,-0.5,-0.08333333333333333,-0.6011904761904762,-0.03571428571428571,-0.42857142857142855,0.011904761904761904,-0.2916666666666667,-0.1488095238095238,-0.42857142857142855,-0.19642857142857142,-0.4880952380952381,-0.125,-0.3273809523809524,-0.06547619047619048,-0.22023809523809523,-0.25595238095238093,-0.34523809523809523,-0.30952380952380953,-0.42857142857142855,-0.23809523809523808,-0.3273809523809524,-0.17857142857142858,-0.25
L,0.0,0.0,0.16766467065868262,-0.11976047904191617,0.2874251497005988,-0.31137724550898205,0.38323353293413176,-0.46107784431137727,0.49700598802395207,-0.5449101796407185,0.03592814371257485,-0.5508982035928144,0.0,-0.7604790419161677,-0.03592814371257485,-0.8862275449101796,-0.05389221556886228,-1.0,-0.10179640718562874,-0.5089820359281437,-0.16167664670658682,-0.5329341317365269,-0.10778443113772455,-0.3592814371257485,-0.04790419161676647,-0.23353293413173654,-0.2215568862275449,-0.4311377245508982,-0.2754491017964072,-0.40718562874251496,-0.18562874251497005,-0.2634730538922156,-0.10179640718562874,-0.16766467065868262,-0.32335329341317365,-0.33532934131736525,-0.3772455089820359,-0.3413173652694611,-0.2934131736526946,-0.23952095808383234,-0.2155688622754491,-0.17964071856287425
L,0.0,0.0,0.15432098765432098,-0.2222222222222222,0.19753086419753085,-0.4876543209876543,0.2345679012345679,-0.6790123456790124,0.30864197530864196,-0.7839506172839507,-0.12962962962962962,-0.5802469135802469,-0.2345679012345679,-0.7777777777777778,-0.3148148148148148,-0.9012345679012346,-0.3765432098765432,-1.0,-0.24074074074074073,-0.47530864197530864,-0.3395061728395062,-0.6049382716049383,-0.2037037037037037,-0.46296296296296297,-0.08641975308641975,-0.3333333333333333,-0.3333333333333333,-0.35185185185185186,-0.3950617283950617,-0.4444444444444444,-0.24074074074074073,-0.30864197530864196,-0.13580246913580246,-0.20987654320987653,-0.4074074074074074,-0.2037037037037037,-0.47530864197530864,-0.30864197530864196,-0.345679012345679,-0.2345679012345679,-0.25925925925925924,-0.1728395061728395
L,0.0,0.0,0.1807909604519774,-0.12429378531073447,0.3163841807909605,-0.3220338983050847,0.4350282485875706,-0.4576271186440678,0.5480225988700564,-0.519774011299435,0.11299435028248588,-0.5254237288135594,0.11864406779661017,-0.7457627118644068,0.11864406779661017,-0.8813559322033898,0.12994350282485875,-1.0,-0.022598870056497175,-0.4858757062146893,-0.04519774011299435,-0.615819209039548,0.005649717514124294,-0.4350282485875706,0.04519774011299435,-0.2937853107344633,-0.14689265536723164,-0.4180790960451977,-0.15254237288135594,-0.5028248587570622,-0.0847457627118644,-0.3333333333333333,-0.04519774011299435,-0.21468926553672316,-0.2655367231638418,-0.3333333333333333,-0.2824858757062147,-0.4463276836158192,-0.21468926553672316,-0.3446327683615819,-0.1694915254237288,-0.2598870056497175
L,0.0,0.0,0.21428571428571427,-0.125,0.3869047619047619,-0.2976190476190476,0.5297619047619048,-0.4226190476190476,0.6666666666666666,-0.4642857142857143,0.20833333333333334,-0.5357142857142857,0.25595238095238093,-0.75,0.2857142857142857,-0.8869047619047619,0.30952380952380953,-1.0,0.06547619047619048,-0.5238095238095238,0.05952380952380952,-0.6547619047619048,0.07142857142857142,-0.47023809523809523,0.08333333333333333,-0.32142857142857145,-0.07142857142857142,-0.47619047619047616,-0.07142857142857142,-0.5714285714285714,-0.03571428571428571,-0.3869047619047619,-0.017857142857142856,-0.2619047619047619,-0.20833333333333334,-0.40476190476190477,-0.21428571428571427,-0.5238095238095238,-0.15476190476190477,-0.4166666666666667,-0.11904761904761904,-0.32142857142857145
L,0.0,0.0,0.18128654970760233,-0.15204678362573099,0.2982456140350877,-0.3567251461988304,0.39766081871345027,-0.5146198830409356,0.49122807017543857,-0.6023391812865497,0.05263157894736842,-0.5555555555555556,0.005847953216374269,-0.7602339181286549,-0.04093567251461988,-0.8888888888888888,-0.07602339181286549,-1.0,-0.07602339181286549,-0.49707602339181284,-0.13450292397660818,-0.6257309941520468,-0.07017543859649122,-0.45614035087719296,-0.005847953216374269,-0.30994152046783624,-0.19883040935672514,-0.4152046783625731,-0.23391812865497075,-0.49707602339181284,-0.14619883040935672,-0.3333333333333333,-0.08771929824561403,-0.21637426900584794,-0.30994152046783624,-0.3157894736842105,-0.3567251461988304,-0.42105263157894735,-0.27485380116959063,-0.3216374269005848,-0.21052631578947367,-0.23976608187134502
L,0.0,0.0,0.2602739726027397,-0.11643835616438356,0.4520547945205479,-0.2808219178082192,0.589041095890411,-0.4178082191780822,0.6986301369863014,-0.4931506849315068,0.23972602739726026,-0.541095890410959,0.2808219178082192,-0.7534246575342466,0.2876712328767123,-0.8904109589041096,0.3013698630136986,-1.0,0.0958904109589041,-0.541095890410959,0.0958904109589041,-0.7191780821917808,0.1095890410958904,-0.541095890410959,0.11643835616438356,-0.3835616438356164,-0.0547945205479452,-0.5068493150684932,-0.0410958904109589,-0.636986301369863,-0.00684931506849315,-0.4452054794520548,0.0,-0.2945205479452055,-0.2054794520547945,-0.4452054794520548,-0.1917808219178082,-0.6027397260273972,-0.14383561643835616,-0.4863013698630137,-0.1232876712328767,-0.3767123287671233
L,0.0,0.0,0.27205882352941174,-0.1323529411764706,0.4632352941176471,-0.27941176470588236,0.6029411764705882,-0.41911764705882354,0.6985294117647058,-0.5147058823529411,0.22794117647058823,-0.5367647058823529,0.25735294117647056,-0.7573529411764706,0.2647058823529412,-0.8897058823529411,0.27205882352941174,-1.0,0.07352941176470588,-0.5367647058823529,0.07352941176470588,-0.7279411764705882,0.08823529411764706,-0.5588235294117647,0.11029411764705882,-0.3897058823529412,-0.07352941176470588,-0.5,-0.0661764705882353,-0.6470588235294118,-0.029411764705882353,-0.4632352941176471,-0.014705882352941176,-0.3088235294117647,-0.23529411764705882,-0.4411764705882353,-0.22058823529411764,-0.6102941176470589,-0.17647058823529413,-0.5,-0.15441176470588236,-0.3897058823529412
L,0.0,0.0,0.2037037037037037,-0.16049382716049382,0.3333333333333333,-0.35802469135802467,0.41975308641975306,-0.5185185185185185,0.5,-0.6049382716049383,0.08024691358024691,-0.5493827160493827,0.05555555555555555,-0.7592592592592593,0.030864197530864196,-0.8950617283950617,0.018518518518518517,-1.0,-0.05555555555555555,-0.5061728395061729,-0.09876543209876543,-0.654320987654321,-0.04938271604938271,-0.4876543209876543,0.006172839506172839,-0.3395061728395062,-0.17901234567901234,-0.43209876543209874,-0.20987654320987653,-0.5432098765432098,-0.13580246913580246,-0.37037037037037035,-0.08024691358024691,-0.24691358024691357,-0.30246913580246915,-0.3395061728395062,-0.3333333333333333,-0.4691358024691358,-0.25308641975308643,-0.36419753086419754,-0.2037037037037037,-0.2716049382716049
L,0.0,0.0,0.20121951219512196,-0.1524390243902439,0.34146341463414637,-0.34146341463414637,0.43902439024390244,-0.4878048780487805,0.5182926829268293,-0.5914634146341463,0.11585365853658537,-0.5426829268292683,0.10975609756097561,-0.7560975609756098,0.09146341463414634,-0.8841463414634146,0.08536585365853659,-1.0,-0.018292682926829267,-0.5060975609756098,-0.04878048780487805,-0.6524390243902439,-0.006097560975609756,-0.4817073170731707,0.036585365853658534,-0.3353658536585366,-0.14634146341463414,-0.4451219512195122,-0.16463414634146342,-0.5426829268292683,-0.0975609756097561,-0.3719512195121951,-0.054878048780487805,-0.24390243902439024,-0.2682926829268293,-0.3597560975609756,-0.2926829268292683,-0.4878048780487805,-0.22560975609756098,-0.38414634146341464,-0.17682926829268292,-0.2865853658536585
L,0.0,0.0,0.21333333333333335,-0.16666666666666666,0.36,-0.36666666666666664,0.4533333333333333,-0.5133333333333333,0.5266666666666666,-0.6133333333333333,0.1,-0.56,0.09333333333333334,-0.7666666666666667,0.07333333333333333,-0.8933333333333333,0.07333333333333333,-1.0,-0.04,-0.5266666666666666,-0.06,-0.7066666666666667,-0.006666666666666667,-0.5466666666666666,0.03333333333333333,-0.3933333333333333,-0.16666666666666666,-0.4666666666666667,-0.17333333333333334,-0.6,-0.1,-0.4266666666666667,-0.06,-0.2866666666666667,-0.30666666666666664,-0.38,-0.31333333333333335,-0.54,-0.24,-0.44666666666666666,-0.2,-0.34
L,0.0,0.0,0.16666666666666666,-0.1839080459770115,0.21839080459770116,-0.41954022988505746,0.2471264367816092,-0.603448275862069,0.29310344827586204,-0.7183908045977011,-0.08045977011494253,-0.5632183908045977,-0.1724137931034483,-0.7701149425287356,-0.2413793103448276,-0.8908045977011494,-0.29310344827586204,-1.0,-0.19540229885057472,-0.47126436781609193,-0.28160919540229884,-0.5517241379310345,-0.1724137931034483,-0.39655172413793105,-0.06896551724137931,-0.28160919540229884,-0.29310344827586204,-0.3620689655172414,-0.3563218390804598,-0.40804597701149425,-0.22413793103448276,-0.26436781609195403,-0.13218390804597702,-0.1724137931034483,-0.367816091954023,-0.23563218390804597,-0.4425287356321839,-0.2988505747126437,-0.3333333333333333,-0.21264367816091953,-0.25287356321839083,-0.15517241379310345
L,0.0,0.0,0.1875,-0.10795454545454546,0.3409090909090909,-0.3125,0.45454545454545453,-0.45454545454545453,0.5625,-0.5284090909090909,0.14204545454545456,-0.5340909090909091,0.17045454545454544,-0.7443181818181818,0.1875,-0.8806818181818182,0.20454545454545456,-1.0,0.005681818181818182,-0.5113636363636364,0.03409090909090909,-0.6079545454545454,0.06818181818181818,-0.42613636363636365,0.08522727272727272,-0.2840909090909091,-0.125,-0.45454545454545453,-0.07954545454545454,-0.5056818181818182,-0.022727272727272728,-0.32386363636363635,-0.005681818181818182,-0.20454545454545456,-0.25,-0.375,-0.20454545454545456,-0.44886363636363635,-0.14204545454545456,-0.3352272727272727,-0.11931818181818182,-0.2556818181818182
L,0.0,0.0,0.16853932584269662,-0.1348314606741573,0.29213483146067415,-0.34831460674157305,0.37640449438202245,-0.5056179775280899,0.4550561797752809,-0.5955056179775281,0.056179775280898875,-0.5337078651685393,0.03932584269662921,-0.7528089887640449,0.02247191011235955,-0.8876404494382022,0.011235955056179775,-1.0,-0.07303370786516854,-0.48314606741573035,-0.07303370786516854,-0.5842696629213483,-0.011235955056179775,-0.4101123595505618,0.033707865168539325,-0.2752808988764045,-0.19101123595505617,-0.4044943820224719,-0.17415730337078653,-0.4550561797752809,-0.0898876404494382,-0.29775280898876405,-0.0449438202247191,-0.1853932584269663,-0.29213483146067415,-0.3089887640449438,-0.29213483146067415,-0.39325842696629215,-0.20786516853932585,-0.29775280898876405,-0.15730337078651685,-0.2247191011235955
L,0.0,0.0,0.16363636363636364,-0.18181818181818182,0.23636363636363636,-0.43636363636363634,0.2909090909090909,-0.6242424242424243,0.3575757575757576,-0.7333333333333333,-0.07878787878787878,-0.5818181818181818,-0.21212121212121213,-0.7878787878787878,-0.3212121212121212,-0.896969696969697,-0.40606060606060607,-1.0,-0.20606060606060606,-0.48484848484848486,-0.2545454545454545,-0.5636363636363636,-0.13333333333333333,-0.4,-0.03636363636363636,-0.2727272727272727,-0.30303030303030304,-0.3696969696969697,-0.3333333333333333,-0.40606060606060607,-0.19393939393939394,-0.2606060606060606,-0.10303030303030303,-0.16363636363636364,-0.3878787878787879,-0.24848484848484848,-0.42424242424242425,-0.30303030303030304,-0.30303030303030304,-0.21212121212121213,-0.22424242424242424,-0.15151515151515152
L,0.0,0.0,0.20588235294117646,-0.13529411764705881,0.34705882352941175,-0.32941176470588235,0.4470588235294118,-0.48823529411764705,0.5352941176470588,-0.5823529411764706,0.13529411764705881,-0.5411764705882353,0.12941176470588237,-0.7588235294117647,0.11764705882352941,-0.888235294117647,0.11176470588235295,-1.0,0.0058823529411764705,-0.5117647058823529,-0.0058823529411764705,-0.6529411764705882,0.03529411764705882,-0.4823529411764706,0.06470588235294118,-0.3352941176470588,-0.11764705882352941,-0.4470588235294118,-0.11764705882352941,-0.5529411764705883,-0.052941176470588235,-0.3764705882352941,-0.01764705882352941,-0.24705882352941178,-0.2411764705882353,-0.36470588235294116,-0.2529411764705882,-0.49411764705882355,-0.18235294117647058,-0.3941176470588235,-0.1411764705882353,-0.3058823529411765
L,0.0,0.0,0.17777777777777778,-0.1,0.3277777777777778,-0.3055555555555556,0.4444444444444444,-0.45555555555555555,0.55,-0.5444444444444444,0.13333333333333333,-0.5388888888888889,0.15555555555555556,-0.75,0.16111111111111112,-0.8833333333333333,0.17222222222222222,-1.0,-0.016666666666666666,-0.5166666666666667,-0.005555555555555556,-0.5944444444444444,0.03333333333333333,-0.40555555555555556,0.06111111111111111,-0.2611111111111111,-0.14444444444444443,-0.46111111111111114,-0.12777777777777777,-0.4777777777777778,-0.06666666666666667,-0.3055555555555556,-0.03333333333333333,-0.19444444444444445,-0.26666666666666666,-0.37222222222222223,-0.2611111111111111,-0.42777777777777776,-0.18888888888888888,-0.31666666666666665,-0.1388888888888889,-0.2388888888888889
L,0.0,0.0,0.16666666666666666,-0.1388888888888889,0.2722222222222222,-0.3611111111111111,0.35555555555555557,-0.5277777777777778,0.4222222222222222,-0.6388888888888888,0.022222222222222223,-0.5555555555555556,-0.027777777777777776,-0.7666666666666667,-0.07777777777777778,-0.8944444444444445,-0.1111111111111111,-1.0,-0.1111111111111111,-0.5,-0.14444444444444443,-0.5555555555555556,-0.06666666666666667,-0.38333333333333336,0.005555555555555556,-0.25555555555555554,-0.22777777777777777,-0.4111111111111111,-0.25555555555555554,-0.4166666666666667,-0.15,-0.26666666666666666,-0.07777777777777778,-0.17222222222222222,-0.3333333333333333,-0.3055555555555556,-0.3611111111111111,-0.3388888888888889,-0.26666666666666666,-0.2388888888888889,-0.2,-0.17222222222222222
L,0.0,0.0,0.19318181818181818,-0.10795454545454546,0.3522727272727273,-0.3125,0.4602272727272727,-0.4659090909090909,0.5511363636363636,-0.5568181818181818,0.14772727272727273,-0.5340909090909091,0.16477272727272727,-0.7556818181818182,0.17045454545454544,-0.8863636363636364,0.18181818181818182,-1.0,0.005681818181818182,-0.5056818181818182,0.017045454545454544,-0.6193181818181818,0.056818181818181816,-0.4375,0.07954545454545454,-0.2897727272727273,-0.11931818181818182,-0.4431818181818182,-0.10227272727272728,-0.5170454545454546,-0.045454545454545456,-0.3352272727272727,-0.017045454545454544,-0.21022727272727273,-0.25,-0.36363636363636365,-0.23863636363636365,-0.4659090909090909,-0.16477272727272727,-0.35795454545454547,-0.125,-0.26136363636363635
L,0.0,0.0,0.17714285714285713,-0.12571428571428572,0.3142857142857143,-0.32571428571428573,0.4228571428571429,-0.4742857142857143,0.5371428571428571,-0.56,0.09714285714285714,-0.5828571428571429,0.09714285714285714,-0.7542857142857143,0.09142857142857143,-0.8914285714285715,0.08571428571428572,-1.0,-0.07428571428571429,-0.5828571428571429,-0.05714285714285714,-0.5142857142857142,-0.005714285714285714,-0.33714285714285713,0.03428571428571429,-0.22285714285714286,-0.21714285714285714,-0.5142857142857142,-0.18285714285714286,-0.37714285714285717,-0.11428571428571428,-0.24,-0.05714285714285714,-0.1657142857142857,-0.3314285714285714,-0.4114285714285714,-0.30857142857142855,-0.30857142857142855,-0.2342857142857143,-0.2057142857142857,-0.17714285714285713,-0.16
L,0.0,0.0,0.2,-0.11875,0.35625,-0.31875,0.45,-0.46875,0.53125,-0.5625,0.14375,-0.53125,0.1625,-0.75,0.1625,-0.88125,0.16875,-1.0,0.0125,-0.50625,0.025,-0.64375,0.05625,-0.4625,0.075,-0.3125,-0.1125,-0.45,-0.1,-0.54375,-0.04375,-0.3625,-0.01875,-0.23125,-0.24375,-0.375,-0.23125,-0.5,-0.16875,-0.3875,-0.1375,-0.29375
L,0.0,0.0,0.24087591240875914,-0.10948905109489052,0.4233576642335766,-0.30656934306569344,0.5328467153284672,-0.45255474452554745,0.635036496350365,-0.5401459854014599,0.20437956204379562,-0.5401459854014599,0.24087591240875914,-0.7518248175182481,0.24817518248175183,-0.8832116788321168,0.26277372262773724,-1.0,0.072992700729927,-0.5328467153284672,0.10218978102189781,-0.708029197080292,0.12408759124087591,-0.5401459854014599,0.12408759124087591,-0.3795620437956204,-0.06569343065693431,-0.49635036496350365,-0.021897810218978103,-0.6204379562043796,0.0072992700729927005,-0.4306569343065693,0.014598540145985401,-0.2846715328467153,-0.2116788321167883,-0.43795620437956206,-0.1678832116788321,-0.5912408759124088,-0.11678832116788321,-0.4744525547445255,-0.10218978102189781,-0.36496350364963503
L,0.0,0.0,0.18633540372670807,-0.11180124223602485,0.3416149068322981,-0.3105590062111801,0.4472049689440994,-0.4658385093167702,0.5341614906832298,-0.5590062111801242,0.13043478260869565,-0.5527950310559007,0.14285714285714285,-0.7515527950310559,0.13664596273291926,-0.8881987577639752,0.13664596273291926,-1.0,-0.024844720496894408,-0.5341614906832298,-0.018633540372670808,-0.577639751552795,0.024844720496894408,-0.39751552795031053,0.062111801242236024,-0.2546583850931677,-0.15527950310559005,-0.4720496894409938,-0.13664596273291926,-0.45962732919254656,-0.06832298136645963,-0.2919254658385093,-0.031055900621118012,-0.18633540372670807,-0.2795031055900621,-0.38509316770186336,-0.2608695652173913,-0.40372670807453415,-0.18633540372670807,-0.2919254658385093,-0.14285714285714285,-0.2236024844720497
